"Pathway","Mummichog Pvals","GSEA Pvals","Combined Pvals"
"glycine biosynthesis II",0.0047198,0.1258,0.00500475598570617
"inosine-5'-phosphate biosynthesis II",0.0047198,0.3598,0.0125295343696059
"glycine cleavage",0.0047198,0.1258,0.00500475598570617
"glycine betaine degradation",0.016582,0.0794,0.0100492879064943
"folate transformations I",0.036444,0.04376,0.0118668498547623
"citrulline-nitric oxide cycle",0.028602,0.6858,0.0967315907710723
"glycine biosynthesis I",0.028602,0.1764,0.0317318868633998
"taurine biosynthesis",0.028602,0.2605,0.0439556047652279
"ubiquinol-10 biosynthesis (eukaryotic)",0.028602,0.2605,0.0439556047652279
"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",0.028602,0.1764,0.0317318868633998
"zymosterol biosynthesis",0.028602,0.2605,0.0439556047652279
"anandamide degradation",0.028602,0.001976,0.00060931342859298
"melatonin degradation I",0.028602,0.01002,0.00262445251080266
"urea cycle",0.028602,0.2372,0.0406597592752943
"prostanoid biosynthesis",0.098877,0.02952,0.0199549038280892
"folate polyglutamylation",0.076367,0.1041,0.0463839934384842
"serotonin and melatonin biosynthesis",0.076367,0.3341,0.119113609949043
"palmitate biosynthesis I (animals)",0.076367,0.8635,0.245239419426562
"dTMP <i>de novo</i> biosynthesis",0.076367,0.08243,0.0381977119670404
"eumelanin biosynthesis",0.076367,0.2885,0.106089333973613
"fatty acid &alpha;-oxidation II",0.076367,0.2581,0.0971051278211707
"bupropion degradation",0.076367,0.4483,0.149762339573119
"tyrosine degradation I",0.18475,0.4488,0.289370308369962
"heme biosynthesis from uroporphyrinogen-III I",0.13615,0.6288,0.296038124659533
"catecholamine biosynthesis",0.13615,0.6524,0.303876273343127
"androgen biosynthesis",0.13615,0.4056,0.215167935837822
"eicosapentaenoate biosynthesis II (metazoa)",0.13615,0.8069,0.352489885002966
"L-carnitine biosynthesis",0.13615,0.1674,0.108974577914627
"dopamine degradation",0.13615,0.6781,0.31227978795452
"histidine degradation III",0.13615,0.06867,0.0530340353870705
"leukotriene biosynthesis",0.20262,0.3144,0.23911271983748
"morphine biosynthesis",0.20262,0.5624,0.361456465745948
"(S)-reticuline biosynthesis II",0.20262,0.4551,0.312015380331211
"acetone degradation I (to methylglyoxal)",0.20262,0.2495,0.201442266208251
"nicotine degradation III",0.20262,0.3712,0.269820282270595
"TCA cycle II (eukaryotic)",0.20262,0.106,0.103968040276384
"tryptophan degradation X (mammalian, via tryptamine)",0.27187,0.08639,0.111593410426863
"noradrenaline and adrenaline degradation",0.27187,0.905,0.591055629790601
"phenylalanine degradation IV (mammalian, via side chain)",0.34106,0.05275,0.0902764031571719
