Term	Description	p.Val	FDR	Phenotype	Gene_Hits	Gene_Total	Gene_Ratio	NES	Ionization
ARGININE BIOSYNTHESIS IV	ARGININE BIOSYNTHESIS IV	0.00369	0.2742	-1	3	22	0.136363636363636	-1.663	negative
GLUTAMATE DEGRADATION II	GLUTAMATE DEGRADATION II	0.005929	0.2742	-1	2	7	0.285714285714286	-1.477	negative
INOSITOL PYROPHOSPHATES BIOSYNTHESIS	INOSITOL PYROPHOSPHATES BIOSYNTHESIS	0.005576	0.2742	-1	4	11	0.363636363636364	-1.693	negative
ANANDAMIDE DEGRADATION	ANANDAMIDE DEGRADATION	0.001976	0.2742	-1	2	4	0.5	-1.489	negative
MELATONIN DEGRADATION I	MELATONIN DEGRADATION I	0.01002	0.3707	+1	2	15	0.133333333333333	1.535	negative
HYPUSINE BIOSYNTHESIS	HYPUSINE BIOSYNTHESIS	0.06369	0.3898	+1	1	10	0.1	1.325	negative
<I>S</I>-METHYL-5-THIO-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION	<I>S</I>-METHYL-5-THIO-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION	0.06369	0.3898	+1	1	14	0.0714285714285714	1.325	negative
GDP-GLUCOSE BIOSYNTHESIS	GDP-GLUCOSE BIOSYNTHESIS	0.06324	0.3898	-1	2	10	0.2	-1.365	negative
GDP-L-FUCOSE BIOSYNTHESIS II (FROM L-FUCOSE)	GDP-L-FUCOSE BIOSYNTHESIS II (FROM L-FUCOSE)	0.08534	0.3898	-1	1	8	0.125	-1.3	negative
GDP-MANNOSE BIOSYNTHESIS	GDP-MANNOSE BIOSYNTHESIS	0.08534	0.3898	-1	1	8	0.125	-1.3	negative
MOLYBDENUM COFACTOR BIOSYNTHESIS	MOLYBDENUM COFACTOR BIOSYNTHESIS	0.08534	0.3898	-1	1	18	0.0555555555555556	-1.3	negative
TETRAHYDROBIOPTERIN BIOSYNTHESIS I	TETRAHYDROBIOPTERIN BIOSYNTHESIS I	0.08534	0.3898	-1	1	10	0.1	-1.3	negative
TETRAHYDROBIOPTERIN BIOSYNTHESIS II	TETRAHYDROBIOPTERIN BIOSYNTHESIS II	0.08534	0.3898	-1	1	11	0.0909090909090909	-1.3	negative
1,25-DIHYDROXYVITAMIN D<SUB>3</SUB> BIOSYNTHESIS	1,25-DIHYDROXYVITAMIN D<SUB>3</SUB> BIOSYNTHESIS	0.06369	0.3898	+1	1	12	0.0833333333333333	1.325	negative
