Term	Description	p.Val	FDR	Phenotype	Gene_Hits	Gene_Total	Gene_Ratio	NES	Ionization
ARGININE BIOSYNTHESIS IV	ARGININE BIOSYNTHESIS IV	0.001887	0.1564	-1	3	22	0.136363636363636	-1.653	negative
OLEATE BIOSYNTHESIS II (ANIMALS)	OLEATE BIOSYNTHESIS II (ANIMALS)	0.004228	0.1564	+1	2	9	0.222222222222222	1.472	negative
INOSITOL PYROPHOSPHATES BIOSYNTHESIS	INOSITOL PYROPHOSPHATES BIOSYNTHESIS	0.001845	0.1564	-1	4	11	0.363636363636364	-1.696	negative
ANANDAMIDE DEGRADATION	ANANDAMIDE DEGRADATION	0.003766	0.1564	-1	2	4	0.5	-1.467	negative
MELATONIN DEGRADATION I	MELATONIN DEGRADATION I	0.004228	0.1564	+1	2	15	0.133333333333333	1.497	negative
GLUTAMATE DEGRADATION II	GLUTAMATE DEGRADATION II	0.007533	0.2235	-1	2	7	0.285714285714286	-1.455	negative
HISTIDINE DEGRADATION VI	HISTIDINE DEGRADATION VI	0.008457	0.2235	+1	2	16	0.125	1.467	negative
PREGNENOLONE BIOSYNTHESIS	PREGNENOLONE BIOSYNTHESIS	0.01057	0.2445	+1	2	9	0.222222222222222	1.458	negative
L-CYSTEINE DEGRADATION I	L-CYSTEINE DEGRADATION I	0.01522	0.3128	+1	4	10	0.4	1.606	negative
PHENYLETHYLAMINE DEGRADATION I	PHENYLETHYLAMINE DEGRADATION I	0.01691	0.3129	+1	2	10	0.2	1.441	negative
SULFITE OXIDATION IV	SULFITE OXIDATION IV	0.02537	0.4267	+1	2	5	0.4	1.419	negative
HYPUSINE BIOSYNTHESIS	HYPUSINE BIOSYNTHESIS	0.06751	0.4424	+1	1	10	0.1	1.294	negative
<I>S</I>-METHYL-5-THIO-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION	<I>S</I>-METHYL-5-THIO-&ALPHA;-D-RIBOSE 1-PHOSPHATE DEGRADATION	0.06751	0.4424	+1	1	14	0.0714285714285714	1.294	negative
1,25-DIHYDROXYVITAMIN D<SUB>3</SUB> BIOSYNTHESIS	1,25-DIHYDROXYVITAMIN D<SUB>3</SUB> BIOSYNTHESIS	0.06751	0.4424	+1	1	12	0.0833333333333333	1.294	negative
FOLATE TRANSFORMATIONS I	FOLATE TRANSFORMATIONS I	0.03376	0.4424	+1	5	26	0.192307692307692	1.568	negative
RETINOL BIOSYNTHESIS	RETINOL BIOSYNTHESIS	0.06751	0.4424	+1	1	17	0.0588235294117647	1.294	negative
PYRIDOXAL 5'-PHOSPHATE SALVAGE PATHWAY	PYRIDOXAL 5'-PHOSPHATE SALVAGE PATHWAY	0.06751	0.4424	+1	1	13	0.0769230769230769	1.294	negative
PROSTANOID BIOSYNTHESIS	PROSTANOID BIOSYNTHESIS	0.03019	0.4424	-1	3	10	0.3	-1.48	negative
GLUCOCORTICOID BIOSYNTHESIS	GLUCOCORTICOID BIOSYNTHESIS	0.06751	0.4424	+1	1	15	0.0666666666666667	1.294	negative
MINERALOCORTICOID BIOSYNTHESIS	MINERALOCORTICOID BIOSYNTHESIS	0.06751	0.4424	+1	1	16	0.0625	1.294	negative
BILE ACID BIOSYNTHESIS, NEUTRAL PATHWAY	BILE ACID BIOSYNTHESIS, NEUTRAL PATHWAY	0.05063	0.4424	+1	5	48	0.104166666666667	1.507	negative
EPOXYSQUALENE BIOSYNTHESIS	EPOXYSQUALENE BIOSYNTHESIS	0.06751	0.4424	+1	1	12	0.0833333333333333	1.294	negative
METHYLTHIOPROPIONATE BIOSYNTHESIS	METHYLTHIOPROPIONATE BIOSYNTHESIS	0.06751	0.4424	+1	1	6	0.166666666666667	1.294	negative
HISTAMINE DEGRADATION	HISTAMINE DEGRADATION	0.03165	0.4424	+1	3	18	0.166666666666667	1.548	negative
4-HYDROXYPROLINE DEGRADATION I	4-HYDROXYPROLINE DEGRADATION I	0.04219	0.4424	+1	3	13	0.230769230769231	1.514	negative
HISTIDINE DEGRADATION III	HISTIDINE DEGRADATION III	0.07174	0.4424	+1	4	12	0.333333333333333	1.456	negative
PHENYLALANINE DEGRADATION IV (MAMMALIAN, VIA SIDE CHAIN)	PHENYLALANINE DEGRADATION IV (MAMMALIAN, VIA SIDE CHAIN)	0.0625	0.4424	+1	7	28	0.25	1.505	negative
FATTY ACID &ALPHA;-OXIDATION III	FATTY ACID &ALPHA;-OXIDATION III	0.06751	0.4424	+1	1	18	0.0555555555555556	1.294	negative
SEROTONIN DEGRADATION	SEROTONIN DEGRADATION	0.07173	0.4424	+1	3	20	0.15	1.459	negative
SUPEROXIDE RADICALS DEGRADATION	SUPEROXIDE RADICALS DEGRADATION	0.06751	0.4424	+1	1	5	0.2	1.294	negative
GDP-GLUCOSE BIOSYNTHESIS	GDP-GLUCOSE BIOSYNTHESIS	0.0791	0.472	-1	2	10	0.2	-1.344	negative
GLYCINE BETAINE DEGRADATION	GLYCINE BETAINE DEGRADATION	0.08478	0.4901	+1	4	18	0.222222222222222	1.428	negative
DTMP <I>DE NOVO</I> BIOSYNTHESIS	DTMP <I>DE NOVO</I> BIOSYNTHESIS	0.09072	0.5086	+1	3	11	0.272727272727273	1.425	negative
OXIDIZED GTP AND DGTP DETOXIFICATION	OXIDIZED GTP AND DGTP DETOXIFICATION	0.09363	0.5095	-1	1	10	0.1	-1.295	negative
GDP-L-FUCOSE BIOSYNTHESIS II (FROM L-FUCOSE)	GDP-L-FUCOSE BIOSYNTHESIS II (FROM L-FUCOSE)	0.1161	0.5114	-1	1	8	0.125	-1.286	negative
GDP-MANNOSE BIOSYNTHESIS	GDP-MANNOSE BIOSYNTHESIS	0.1161	0.5114	-1	1	8	0.125	-1.286	negative
MOLYBDENUM COFACTOR BIOSYNTHESIS	MOLYBDENUM COFACTOR BIOSYNTHESIS	0.1161	0.5114	-1	1	18	0.0555555555555556	-1.286	negative
TETRAHYDROBIOPTERIN BIOSYNTHESIS I	TETRAHYDROBIOPTERIN BIOSYNTHESIS I	0.1161	0.5114	-1	1	10	0.1	-1.286	negative
TETRAHYDROBIOPTERIN BIOSYNTHESIS II	TETRAHYDROBIOPTERIN BIOSYNTHESIS II	0.1161	0.5114	-1	1	11	0.0909090909090909	-1.286	negative
