Term	Description	p.Val	FDR	Phenotype	Gene_Hits	Gene_Total	Gene_Ratio	NES	Ionization
PROSTANOID BIOSYNTHESIS	PROSTANOID BIOSYNTHESIS	0.002066	0.258	+1	6	10	0.6	1.769	positive
LACTOSE DEGRADATION III	LACTOSE DEGRADATION III	0.003929	0.258	-1	2	4	0.5	-1.488	positive
THYROID HORMONE METABOLISM II (VIA CONJUGATION AND/OR DEGRADATION)	THYROID HORMONE METABOLISM II (VIA CONJUGATION AND/OR DEGRADATION)	0.004073	0.258	+1	5	24	0.208333333333333	1.652	positive
ASPARAGINE BIOSYNTHESIS I	ASPARAGINE BIOSYNTHESIS I	0.1217	0.691	+1	2	9	0.222222222222222	1.294	positive
METHIONINE SALVAGE II (MAMMALIA)	METHIONINE SALVAGE II (MAMMALIA)	0.025	0.691	-1	3	6	0.5	-1.497	positive
SERINE BIOSYNTHESIS	SERINE BIOSYNTHESIS	0.1453	0.691	-1	1	11	0.0909090909090909	-1.222	positive
SELENOCYSTEINE BIOSYNTHESIS II (ARCHAEA AND EUKARYOTES)	SELENOCYSTEINE BIOSYNTHESIS II (ARCHAEA AND EUKARYOTES)	0.1453	0.691	-1	1	14	0.0714285714285714	-1.222	positive
TETRAHYDROBIOPTERIN BIOSYNTHESIS I	TETRAHYDROBIOPTERIN BIOSYNTHESIS I	0.1336	0.691	-1	2	10	0.2	-1.288	positive
ANDROGEN BIOSYNTHESIS	ANDROGEN BIOSYNTHESIS	0.04277	0.691	+1	5	15	0.333333333333333	1.496	positive
ESTROGEN BIOSYNTHESIS	ESTROGEN BIOSYNTHESIS	0.05703	0.691	+1	5	18	0.277777777777778	1.449	positive
3-PHOSPHOINOSITIDE BIOSYNTHESIS	3-PHOSPHOINOSITIDE BIOSYNTHESIS	0.09053	0.691	+1	1	15	0.0666666666666667	1.278	positive
CARDIOLIPIN BIOSYNTHESIS II	CARDIOLIPIN BIOSYNTHESIS II	0.09053	0.691	+1	1	9	0.111111111111111	1.278	positive
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS III	PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS III	0.1453	0.691	-1	1	4	0.25	-1.222	positive
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS II	PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS II	0.09053	0.691	+1	1	11	0.0909090909090909	1.278	positive
INOSINE-5'-PHOSPHATE BIOSYNTHESIS II	INOSINE-5'-PHOSPHATE BIOSYNTHESIS II	0.1314	0.691	-1	4	16	0.25	-1.358	positive
GUANINE AND GUANOSINE SALVAGE I	GUANINE AND GUANOSINE SALVAGE I	0.04457	0.691	-1	1	7	0.142857142857143	-1.284	positive
PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO</I> BIOSYNTHESIS I	PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO</I> BIOSYNTHESIS I	0.1136	0.691	+1	2	26	0.0769230769230769	1.302	positive
EUMELANIN BIOSYNTHESIS	EUMELANIN BIOSYNTHESIS	0.1493	0.691	-1	2	11	0.181818181818182	-1.268	positive
GLYCINE DEGRADATION (CREATINE BIOSYNTHESIS)	GLYCINE DEGRADATION (CREATINE BIOSYNTHESIS)	0.08841	0.691	-1	2	8	0.25	-1.352	positive
CHOLINE DEGRADATION I	CHOLINE DEGRADATION I	0.1111	0.691	+1	1	9	0.111111111111111	1.253	positive
