Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009968	NEGATIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009968	0.000123334977799704	0.00231326988835331	-1	GDF15,HSPB1,CLU,HYOU1,DUSP3,CRIM1,HSPA5,ABL2,TNIP1,PDCD4,PTPRS,TSG101,PSMD9,ARHGEF2,FKBP1A,MET,EPHA2,GSTO1,TRADD,PEG10,DUSP10,PEBP1,TNFRSF10B,SPG20,PSME1,TGFBR2,PRKAA2,PARK7,TTLL12,EZR,ZBTB7A,NCK1,SPRY2,PHPT1,GSK3A,PSME2,PSMD11,DYRK1A,ENO1,PRKAA1,ERBB2IP,ARRB2,FBP1,WWP2,BIRC6,ARHGAP35,FZD6,PTPN12,HGS,GSTP1,CD74,ITGA3,WWC1,LEPROT,EGFR,MMP14,NXN,SEC14L1,RIPK1,LEMD2,CALR,STAT1,PPM1A,PSMB7,MIF,TSC2,PSMB6,PSMB8,PRKCZ,ARHGAP12,KANK1,AKT1S1,PPIA,NME5,DVL2,ATP2B4,WWTR1,PSMD7,SLC35F6,PEA15,DDX3X,PSMA2,MCL1,STUB1,MYADM,SLIT2,PSMF1,PTTG1IP,GPX1,STMN1,TIMP3,AJUBA,NOTCH3,SH3KBP1,PSMB1,EPS15,SH3RF1,IGFBP3,PSMB2,PSMD6,HERPUD1,BMP4,VPS25,LATS1,LIMD1,CDC34,MAP2K3,VCP,ARRB1,PSMD5,PINK1,CD2AP,FOXO1,CYLD,PSMA7,TRAF2,BCL9L,MTMR4,FADD,PSMC3,SHANK2,TAOK3,HLA-G,URI1,PPP2R5B,RELA,NCOR2,HOMER3,AKT1,CCDC22,CASP8,MVP,PSMB3,TANK,FAM129B,PYCARD,PER1,ADAMTS12,VHL,GRB10,PSMA1,PSMA5,SNX6,HBEGF,WWC3,UBR2,PSMB9,UFL1,FLCN,WFS1,GPRC5A,PSMD8,SCYL2,SH3BP1,PIK3R2,ARHGEF7,CD44,TMBIM6,STK4,PSMD12,GBP1,EPHB2,SIRT1,HERC4,CD46,STK38,ZFYVE28,AK6,SMURF2,MTMR2,RNF34,THBS1,PTPN1,PSMD13,PPP2R1A	-1.53435181233419	-0.317113142582713	175	495
REGULATION OF CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044087	REGULATION OF CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044087	0.000123639960435213	0.00231326988835331	-1	SDCBP,CAPG,CLU,TBC1D15,APP,SPIRE1,PDCD6IP,DUSP3,HSPA5,WARS,CORO1B,TSG101,CAMSAP2,MIEN1,CTTN,ASAP1,IKBKB,VPS4B,MET,EPHA2,COTL1,RAB3GAP1,GMFB,RAPGEF1,FCHSD1,TBC1D5,VPS35,CUL4B,MAPRE1,BCL2L11,EML2,TWF1,PARK7,EZR,BAX,ATG3,NCK1,DBNL,PTPN11,LRRC16A,DYNC1H1,TBC1D24,DYRK1A,PRKAA1,RBM14,HSP90AA1,CHMP4A,DCTN1,NUP62,PIK3R1,PIP4K2C,ARHGAP35,BIN1,EPS8L2,TBCD,CHMP2B,TJP1,UBQLN2,ARPC4,HGS,TBC1D10B,AGRN,SH3GLB1,TBC1D2,PPM1A,TBC1D17,SLK,ARPC3,CDC42EP1,CTNNA2,PPM1F,PLEKHM1,TRIM37,VASP,CTGF,PRKCZ,MTM1,MSN,VCL,PTK2,ARHGEF18,KANK1,SSH1,TRMT112,DDX3X,ROCK2,LRSAM1,STUB1,CPTP,MYADM,CAPZA2,SLIT2,ATG5,TRAF3IP1,RAPGEF2,RAB3GAP2,STMN1,AJUBA,FLII,MAP4K4,DOCK11,HDAC6,NUDT16,CHMP3,FERMT2,SEPT9,PIP4K2A,EVI5L,YAP1,TWF2,ARHGEF10,SNX9,JMY,LATS1,VCP,PINK1,ARAP1,CHMP1B,CYLD,PFN1,VPS4A,TRAF2,ROCK1,ARPC5,WASL,FSCN1,CLASP1,PSMC3,EIF4G1,SAR1A,SSH3,CHMP2A,BAIAP2,ARHGAP18,ARFIP1,SDCCAG3,PRUNE,ARPC2,LCMT1,PYCARD,PHLDB2,TUBB4A,CAPZB,PXN,ACTR2,SEC22B,CAMSAP1,MAPK15,RASA1,TFRC,CHMP4B,CLIP1	-1.67077170005094	-0.345542839059087	152	492
ORGANOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0019637	ORGANOPHOSPHATE METABOLIC PROCESS%GOBP%GO:0019637	0.000123655249165327	0.00231326988835331	-1	PNP,GFPT1,GARS,ATIC,PPCS,ENO2,MTHFD1,PRKAG2,IDH1,ABHD5,PAICS,PGD,PFKM,PGK1,TPI1,NDUFA4,PCYT2,IMPDH2,GAPDH,PGLS,PFKL,NAMPT,PRDX6,NUDT5,NUDT14,ACLY,PDXK,MDH1,GART,G6PD,EPHA2,SERINC5,MTMR14,ITPK1,APRT,BAD,AKR1A1,IMPA1,DNPH1,PFKP,ADSS,PGM1,SORD,ADSL,PRPS2,GMPR2,FASN,CTPS1,ALDOC,EFTUD1,ABHD14B,NADSYN1,ISYNA1,PAFAH1B1,HPRT1,PARK7,AMPD2,SYNJ2,CLN3,PRPSAP2,GCDH,PMVK,PAPSS1,ENO1,ALDOA,RPE,CAD,MVK,FBP1,RRM2,PPIP5K2,DERA,NUDT2,COASY,PIK3R1,PIP4K2C,PANK4,ACACA,AK1,PI4K2A,PLAA,FHIT,LPIN3,SERINC1,MOCS2,PANK2,HINT1,LDHA,ADK,HMGCS1,BPNT1,CKB,OLA1,VAC14,MT-ND5,PDXP,MTM1,PKM,NT5C2,PAPSS2,APOA1BP,PPAT,TALDO1,CTPS2,PPT1,GPX1,PIGA,AGPAT9,DCTD,PFKFB2,TKT,PNPO,INPP4A,PRPSAP1,MTMR6,NUDT16,DCTPP1,IMPDH1,PIP4K2A,NDUFB8,PLCG1,FOXK1,UMPS	-1.73833235365896	-0.359506062987764	123	491
MOVEMENT OF CELL OR SUBCELLULAR COMPONENT%GOBP%GO:0006928	MOVEMENT OF CELL OR SUBCELLULAR COMPONENT%GOBP%GO:0006928	0.000124069478908189	0.00231326988835331	-1	SDCBP,CENPE,ANKS1A,HSPB1,APP,CYR61,LAMB2,LOXL2,LAMC1,SLC3A2,CORO1B,NARS,MARK2,TUBB3,CTTN,IRS2,KLC1,MET,NEDD4L,EPHA2,PDXDC1,LAMC2,SCRIB,SORD,WNK1,BAG3,TNFRSF10B,AAMP,DYNC1I2,MYO1E,PKN3,MAPRE1,FGFR1,PAFAH1B1,LAMB1,NTN4,EZR,KIF5B,DSTN,CLN3,PTPN11,ZMIZ1,LRRC16A,DYNC1H1,FYN,LAMA5,DCTN1,ARRB2,MYH10,ELMO2,DOCK4,PIK3R1,USP9X,ARHGAP35,MYO9B,OPHN1,CD74,ITGA3,BLOC1S4,WWC1,ACTB,KIF3A,LRP12,MMP14,FMNL2,MAP1S,PTPRF,NOTCH2,STAT1,CDK5,MIF,ARPC3,CTNNA2,KLC2,TMEM201,VASP,MSN,PTK2,KANK1,WIPF2,PPIA,ATP2B4,MAP1B,FAT1,KIF13A,KIF16B,SHC1,DYNC1LI2,KPNB1,KIF23,TNFRSF10D,ITGB4,AP3M2,MAPK1,KIFAP3,SLIT2,TRAF3IP1,RAPGEF2,KIF1B,ELP3,APOB,MYL1,PLXNA2,MST1R,LYST,NOTCH3,SEMA3C,SH3KBP1,LAMA3,SLC7A5,GIPC1,SH3RF1,PLCG1,BICD2,ITGB3,JMY,MYH9,ENAH,DYNLRB1,LIMD1,ARF4,ADAM9,CD2AP,AIMP1,SEMA3B,ROCK1,ARPC5,WASL,PTPRK,FSCN1,PKN1,RTN4,AP3B1,IQGAP1,WIPF1,IFT74,AKT1,ARPC2,AP3D1,SBDS,FAM129B,ADAMTS12,PXN,GRB10,TRAK2,HBEGF,STRIP2,ALOX5,AMOTL2,MIA3,SH3BP1,PIK3R2,COPG1,ALCAM,GBF1,KIF3B,PROS1,CD44,PIK3C2A,SLC12A2,TUBGCP2,EPHB2	-1.56029200056618	-0.323052352247562	162	485
VESICLE-MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 74%5653656	VESICLE-MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 74%5653656	0.000124672734073058	0.00231326988835331	-1	CENPE,TBC1D15,APP,SNX2,HYOU1,PRKAG2,TSG101,OPTN,GDI1,CTTN,KLC1,VPS4B,SEC31A,RABEP1,PLIN3,RAB3GAP1,VPS28,ARFGAP1,DYNC1I2,DCTN2,VPS36,TBC1D4,PAFAH1B3,MVB12A,PAFAH1B1,KLC4,PRKAA2,VTA1,HSP90B1,HSPH1,TRIP10,GDI2,KIF5B,SYNJ2,RIN1,ARFGAP3,RABGEF1,SH3GL1,DYNC1H1,TBC1D24,TBC1D25,HSP90AA1,CHMP4A,DCTN1,ARRB2,DNM2,BIN1,PACSIN1,CHMP2B,TJP1,UBQLN2,ARPC4,HGS,CHMP7,BLOC1S4,ASPSCR1,KIF3A,YWHAZ,EGFR,COPS2,TBC1D10B,CALR,TBC1D2,ACTR1A,TBC1D17,ARL1,COPS7A,ARPC3,TSC2,KLC2,SORT1,SFN,YWHAQ,VPS53,REPS2,COPB1,DVL2,DCTN3,AAK1,YWHAG,TFG,KIF16B,TPD52,DYNC1LI2,KIF23,AP4B1,DENND1A,GAPVD1,KIFAP3,CAPZA2,COPS8,TRAPPC8,UBQLN1,KIF1B,APOB,RAB3GAP2,EXOC8,ST5,CSNK1D,PAFAH1B2,C2CD5,MON1B,SH3KBP1,VPS37C,CHMP3,PPP6C,COPA,EPS15,BICD2,LDLR,SNX9,MYH9,VPS25,FNBP1,DCTN5,COPS5,ARF4,ARRB1,VPS51,VPS4A,ARPC5,WASL,COPS4,ARFGAP2,KLC3,REPS1,EXOC2,CD55,PACSIN2,TRAPPC2L,KDELR3,DNM1,AP3B1,CHMP2A,SH3D19,EXOC6,EXOC1,AKT1,ARPC2,CAPZB,PRKAB2,COL7A1,COG3,ACTR2,HBEGF,DENND2D,SEC22B,CTSC,TFRC,CHMP4B,MIA3,SEC24D,COPG1,TMEM115,GBF1,KIF3B,FCHO2,AP1S2,RALGAPA2,COPS3,AGFG1,PIK3C2A,COPS6,MVB12B,RABGAP1,COPB2	-1.79936601076234	-0.373819308302122	166	451
SECRETION BY CELL%GOBP%GO:0032940	SECRETION BY CELL%GOBP%GO:0032940	0.000124688279301746	0.00231326988835331	-1	SDCBP,PNP,CLU,APP,LAMP1,PDIA4,LGALS3BP,C16ORF62,GYG1,TOM1,IDH1,HUWE1,APLP2,IMPDH2,TUBB4B,SERPINB6,PFKL,PRDX6,ACLY,PDXK,COTL1,APRT,HSPA6,PGM1,ALDOC,TIMP2,STEAP3,EEF2,TAGLN2,SERPINB1,SLC2A3,TUBA4A,PARK7,GDI2,GTPBP2,ALAD,TOLLIP,DBNL,ARFGAP3,SCRN1,DYNC1H1,HMHA1,PSMD11,ALDOA,QSOX1,HSP90AA1,VAT1,NHLRC2,DERA,CCT8,COMMD9,DIAPH1,PYGB,CFP,ACTR1B,STK10,GSTP1,ALDH3B1,WDR1,HLA-B,ERP44,CAND1,CDK5,HEBP2,PSMB7,MIF,HSP90AB1,UBR4,LTA4H,CDA,RAB11FIP5,OLA1,DNAJC3,PKM,VCL,TMEM179B,PPIA,COPB1,NFKB1,ATG7,PSMD7,PDAP1,PA2G4,DDX3X,KPNB1,PSMA2,DSN1,IST1,MOSPD2,MAPK1,CAB39,ATP6V1D,COMMD3,CYSTM1,S100A11,EXOC8,TIMP3,PAFAH1B2,CPPED1,ARHGAP17,PSMB1,ABCC4,IMPDH1,TEX264,GIPC1,STX3,PSMD6,ITGB3,MYH9,COPS5,LCN2,VCP,TUBB,LAMP2,NBEAL2,ROCK1,ARPC5,GPI,PCYOX1L,EXOC2,CD55,PSMC3,NIT2,CAP1,STXBP2,IQGAP1,PPP3CB,EXOC6,CNN2,EXOC1,MVP,SLC15A4,FAM129B,PYCARD,CCDC53,PSMA5,KCMF1,ACTR2,CYB5R4,CTSC,TSPAN14,ALOX5,MIA3,ANXA5,TANGO2,DSP,COPG1,PROS1,PYGL,APEH,CD44,PIK3C2A,EXOC6B,PSMD12	-1.57938184561685	-0.327992738666822	154	455
OXOACID METABOLIC PROCESS%GOBP%GO:0043436	OXOACID METABOLIC PROCESS%GOBP%GO:0043436	0.000124734938256206	0.00231326988835331	-1	SARS,SLC2A1,AARS,GNPDA1,GARS,CTH,PSAT1,TARS,ASS1,YARS,ENO2,AHCYL2,WARS,GOT1,PEPD,MTHFD1,ASNS,IDH1,NARS,PGD,PFKM,PGK1,TPI1,GSS,SMS,GAPDH,PFKL,FAH,LARS,ACLY,MDH1,CCBL2,BLMH,LDHB,AMDHD2,BCAT1,SERINC5,IDUA,GSTO1,AKR1A1,PFKP,PGM1,SORD,OSBPL3,N6AMT1,UGP2,GSTM1,HARS,SHMT1,IARS,FASN,ALDOC,PPA1,ABHD14B,AHCY,ACO1,EPRS,SLC2A3,MTRR,PYCRL,PARK7,PSPH,SDSL,IREB2,PTGES3,GCDH,MARS,PAPSS1,ENO1,ALDOA,CAD,AASDHPPT,UGDH,MTHFR,GSTP1,CD74,DARS,ACACA,ACAT2,PLAA,LPIN3,CBR1,PANK2,LDHA,MIF,ENOPH1,BPNT1,PHGDH,LTA4H,CKB,ECHDC1,PKM,FN3K,AKR1D1,GCLC,SLC23A2,RARS,PAPSS2,NAGK,DDAH2,AKR1C3,PTS,GLO1,GPX1,SERINC3	-1.59241557918578	-0.330710656717429	105	453
CELL ACTIVATION%GOBP%GO:0001775	CELL ACTIVATION%GOBP%GO:0001775	0.000124734938256206	0.00231326988835331	-1	SDCBP,PNP,HSPB1,CLU,APP,LAMP1,C16ORF62,GYG1,TOM1,IDH1,HUWE1,IMPDH2,TUBB4B,PRDX1,SERPINB6,CTSL,PFKL,PRDX6,FKBP1A,ACLY,PDXK,COTL1,APRT,SCRIB,HSPA6,PGM1,CTPS1,ALDOC,TIMP2,TGFBR2,EEF2,SERPINB1,SLC2A3,GDI2,ZBTB7A,ALAD,NCK1,TOLLIP,DBNL,PTPN11,DYNC1H1,HMHA1,FYN,PSMD11,CLIC1,ALDOA,QSOX1,HSP90AA1,ARRB2,VAT1,DERA,CCT8,PIK3R1,COMMD9,DIAPH1,PYGB,CFP,ZFP36L1,ACTR1B,STK10,GSTP1,CD74,ACTB,ALDH3B1,YWHAZ,HLA-B,ERP44,CAND1,PRDX2,NOTCH2,HEBP2,PSMB7,MYL9,MIF,HSP90AB1,UBR4,LTA4H,CDA,DYSF,DNAJC3,PKM,MSN,VCL,TMEM179B,PPIA,COPB1,NFKB1,ATG7,PSMD7,TPD52,PDAP1,PA2G4,DDX3X,KPNB1,PSMA2,DSN1,IST1,IFNGR1,METAP1,MOSPD2,MAPK1,CAB39,ATP6V1D,COMMD3,CYSTM1,S100A11,PAFAH1B2,DOCK11,ILK,MYL12A,CPPED1,RABL3,PSMB1,IMPDH1,PSMD6,ITGB3,MYH9,LCN2,CSRP1,VCP,ADAM9,ARRB1,CSF1,TUBB,HDAC4,LAMP2,NBEAL2,ROCK1,ARPC5,MALT1,GPI,CD55,FADD,ITPR3,PSMC3,NIT2,CAP1,STXBP2,IQGAP1,BAG6,PPP3CB,CNN2,PRMT5,CASP8,MVP,SLC15A4,ZFP36L2,PYCARD,PSMA5,KCMF1,ACTR2,CTSC,TSPAN14,ALOX5	-1.68705727805923	-0.350365713347367	154	453
SECRETION%GOBP%GO:0046903	SECRETION%GOBP%GO:0046903	0.000124781632143748	0.00231326988835331	-1	SDCBP,PNP,CLU,APP,LAMP1,PDIA4,LGALS3BP,C16ORF62,GYG1,TOM1,IDH1,HUWE1,APLP2,IMPDH2,TUBB4B,SERPINB6,PFKL,PRDX6,ACLY,PDXK,COTL1,APRT,HSPA6,PGM1,ALDOC,TIMP2,STEAP3,EEF2,TAGLN2,SERPINB1,SLC2A3,TUBA4A,PARK7,GDI2,GTPBP2,ALAD,TOLLIP,DBNL,ARFGAP3,SCRN1,DYNC1H1,HMHA1,PSMD11,ALDOA,PRKCI,QSOX1,HSP90AA1,VAT1,NHLRC2,DERA,CCT8,COMMD9,DIAPH1,PYGB,CFP,ACTR1B,STK10,GSTP1,ALDH3B1,WDR1,HLA-B,ERP44,CAND1,CDK5,HEBP2,PSMB7,MIF,HSP90AB1,UBR4,LTA4H,CDA,RAB11FIP5,OLA1,DNAJC3,PKM,VCL,TMEM179B,PPIA,COPB1,ABCC3,NFKB1,ATG7,PSMD7,TPD52,PDAP1,PA2G4,DDX3X,KPNB1,PSMA2,DSN1,IST1,MOSPD2,MAPK1,CAB39,ATP6V1D,COMMD3,CYSTM1,S100A11,EXOC8,TIMP3,PAFAH1B2,CPPED1,ARHGAP17,PSMB1,COPA,ABCC4,IMPDH1,TEX264,GIPC1,STX3,PSMD6,ITGB3,MYH9,COPS5,LCN2,VCP,TUBB,LAMP2,NBEAL2,ROCK1,ARPC5,GPI,PCYOX1L,EXOC2,CD55,PSMC3,NIT2,CAP1,STXBP2,IQGAP1,PPP3CB,EXOC6,CNN2,EXOC1,MVP,SLC15A4,FAM129B,PYCARD,CCDC53,PSMA5,KCMF1,ACTR2,CYB5R4,CTSC,TSPAN14,ALOX5,MIA3,ANXA5,TANGO2,DSP,COPG1,PROS1,PYGL,APEH,CD44,PIK3C2A,EXOC6B,PSMD12	-1.5840162393289	-0.328794964677307	158	465
ORGANIC ACID METABOLIC PROCESS%GOBP%GO:0006082	ORGANIC ACID METABOLIC PROCESS%GOBP%GO:0006082	0.000124797204542618	0.00231326988835331	-1	SARS,SLC2A1,PNP,AARS,GNPDA1,GARS,CTH,PSAT1,TARS,ASS1,YARS,ENO2,AHCYL2,WARS,GOT1,PEPD,MTHFD1,ASNS,IDH1,NARS,PGD,PFKM,PGK1,TPI1,GSS,SMS,GAPDH,PFKL,FAH,LARS,ACLY,MDH1,CCBL2,BLMH,LDHB,AMDHD2,BCAT1,SERINC5,IDUA,GSTO1,AKR1A1,PFKP,PGM1,SORD,OSBPL3,N6AMT1,UGP2,GSTM1,HARS,SHMT1,IARS,FASN,ALDOC,PPA1,ABHD14B,AHCY,ACO1,EPRS,SLC2A3,MTRR,PYCRL,PARK7,PSPH,SDSL,IREB2,PTGES3,LRRC16A,GCDH,MARS,PAPSS1,ENO1,ALDOA,CAD,AASDHPPT,UGDH,MTHFR,GSTP1,CD74,DARS,ACACA,ACAT2,PLAA,LPIN3,CBR1,PANK2,LDHA,MIF,ENOPH1,BPNT1,PHGDH,LTA4H,CKB,ECHDC1,PKM,FN3K,AKR1D1,GCLC,SLC23A2,RARS,PAPSS2,NAGK,DDAH2,AKR1C3,PTS,GLO1,GPX1,SERINC3	-1.61788839894742	-0.335877671232633	107	459
