Gene	feature_identifier	Protein	Glucose	Glucose1	Glucose2	Glucose3	Glucose4	NoGlucose	NoGlucose1	NoGlucose2	NoGlucose3	NoGlucose4
C1orf226	C1orf226_A1L170	A1L170	12.8540831325227	12.8213037532772	12.9583199047518	13.0427434240309	13.2577581023733	12.8356572475929	12.6673194020443	12.5638519643428	12.8303543075958	12.7955663966089
PLEKHG3	PLEKHG3_A1L390	A1L390	14.1976636351047	14.0749352298676	13.9082382661264	13.9952410718176	13.9184481554929	13.9286505662109	14.2034962769696	13.9184481554929	13.9436474412463	14.1019581297787
ELOVL7	ELOVL7_A1L3X0	A1L3X0	10.3678521225919	10.4999968062294	10.3678521225919	10.0923835638667	9.97400710209822	10.3266764518829	10.1973303225594	10.15727596448	10.4513298634137	10.3144048289549
CXorf23	CXorf23_A2AJT9	A2AJT9	15.5268691532601	15.6814150302768	15.651425566106	15.556452160123	15.6348012967488	15.886339750383	15.8195342748726	15.9197254922273	15.8416170214362	15.7977348329115
NBAS	NBAS_A2RRP1	A2RRP1	17.9348414030267	17.9485553029919	18.0031817352784	17.8814016045217	17.8868017898213	17.9902291679935	18.0002288167572	17.9978203781446	18.0134337889481	18.0162651792617
DENND3	DENND3_A2RUS2	A2RUS2	10.1379581194897	8.25407432141031	8.66508303771695	11.0962610126887	10.4913665513637	10.6060875869423	10.15727596448	10.0041459269233	10.6675379047555	10.2113023271904
KIAA0922	KIAA0922_A2VDJ0	A2VDJ0	13.591111769574	13.3490900747419	13.684708255907	13.4837173832196	13.5156226877145	13.9265128966812	13.8910354842334	13.7102366897108	13.923583433578	13.9077529381152
VWA8	VWA8_A3KMH1	A3KMH1	17.4827789345638	17.7358734761957	17.6710526654553	17.6569332451701	17.5330952986324	17.5223023318819	17.4761526138176	17.3829253515233	17.5909000579653	17.6569332451701
SBNO1	SBNO1_A3KN83	A3KN83	13.0571943295289	13.684708255907	13.1138974485657	13.1525557271492	13.2247830102651	13.4211130216014	13.285059252474	13.1743372180045	13.1087752597886	13.4007252943557
GTPBP10	GTPBP10_A4D1E9	A4D1E9	14.1442963117253	14.2920654208243	14.2876592704328	14.1585354830483	14.2581700332649	14.4084155409236	14.722754075406	14.6118912875149	14.3068806073007	14.3697626040277
LCHN	LCHN_A4D1U4	A4D1U4	16.250753865943	16.236445569104	16.4731036306697	16.3952285803189	16.3561314620413	16.5841284391231	16.4973055869116	16.5102340269771	16.5264577434634	16.613224825901
VPS37C	VPS37C_A5D8V6	A5D8V6	14.7105020641714	14.8514815013927	15.0665237438208	14.8747594341797	14.8009083222319	14.7407752907329	14.4748448396259	14.3551204043482	14.5758304462027	14.4965443656395
CNOT1	CNOT1_A5YKK6	A5YKK6	17.8087325433987	17.8455848631983	17.8030934337539	17.8504951716094	17.8451732111139	17.8116142027625	17.7712891678534	17.879470447997	17.8161606614973	17.8585823556288
ARHGEF35	ARHGEF35_A5YM69	A5YM69	11.5539666329531	10.6675379047555	11.3520737636271	11.6448424025911	11.3698781861528	11.3504589783093	11.3119523538512	11.4128173470585	11.3963988468382	11.1141222409948
MAP1LC3A	MAP1LC3A_Q9H492	Q9H492	14.8058114321859	14.8108493799682	14.9567449147219	14.7169441252943	14.577940535898	13.7627730339073	13.7335686404	13.6873914058303	13.7457503865064	13.7335686404
C2orf72	C2orf72_A6NCS6	A6NCS6	13.6521896182026	13.6319867188449	13.6842773020574	13.6679581656245	13.589092613907	13.7963925604348	13.7294958803619	13.7047412776259	13.8405279314172	13.4607203763318
PGP	PGP_A6NDG6	A6NDG6	16.6774732717167	16.4030900424013	16.4609312811491	16.5702489067612	16.6728552852734	16.3085574273242	16.0916474455721	16.4396215575073	16.2155438029797	16.3270462368342
C5orf51	C5orf51_A6NDU8	A6NDU8	12.9367210759427	12.5025193607364	12.7752281469845	13.0251867559879	12.9300494033946	12.8374288650973	12.7362689680904	12.8084353348401	12.5426338185919	12.6847872232953
RCCD1	RCCD1_A6NED2	A6NED2	10.2402935433219	10.0719098462324	10.1684617094626	9.697659803517	10.6251283866998	9.73650532601902	10.4009118697376	10.8294830213453	9.94067525341359	10.4600005561815
ZNF316	ZNF316_A6NFI3	A6NFI3	13.3305869904962	13.8755244528414	13.4348568979609	13.3048213875064	13.4262868191116	13.8011210004924	13.8559613324835	13.6514977171115	14.2414315468762	14.0539777703796
FBLL1	FBLL1_A6NHQ2	A6NHQ2	14.7904393725295	14.9707588581164	14.8918555657529	15.0865970579837	14.9624358989465	15.0003533288401	14.9107683850448	14.8520352802353	14.9770283593978	15.0233551731885
SMCHD1	SMCHD1_A6NHR9	A6NHR9	18.6456162294352	18.5610007405536	18.4862899805442	18.6576140444991	18.5855885688918	18.7083732331616	18.6004334041098	18.8221681566511	18.7351117404373	18.7254941979715
ARHGAP42	ARHGAP42_A6NI28	A6NI28	14.488740433772	14.4691556006288	14.804914996341	14.5664882659547	14.5112079494834	14.6057181239725	14.5671564752411	14.5520771152333	14.5367629093876	14.5402582627467
CCDC69	CCDC69_A6NI79	A6NI79	13.3863805296265	13.0155915802577	13.7182193346102	13.3941708629022	13.3563292346556	13.6202143393969	13.7619561188174	13.4093028377684	13.5712507537269	13.6254595787287
UNC119B	UNC119B_A6NIH7	A6NIH7	11.4278363008292	11.2822881531477	11.2331713385125	11.5705679583712	11.5592993773127	11.4620960264587	11.7538586737917	11.6531380213754	11.5091553570268	11.0039293928057
LRRC10B	LRRC10B_A6NIK2	A6NIK2	14.9315615904619	14.9751258317697	15.0027929754253	15.2058859735217	14.9375748344065	14.401585487481	14.2021031178532	13.9336271004404	14.4469941701921	14.6732990220579
METTL15	METTL15_A6NJ78	A6NJ78	13.9204391239054	13.6791263425398	14.0428465937331	14.1723019062709	14.0961180741237	14.3031873714619	14.2450873199664	14.3207932978587	14.1615176172145	14.3287407283939
LIPT2	LIPT2_A6NK58	A6NK58	14.4069503515084	13.8433932281659	14.5100578609124	14.6619450490945	14.2468803492802	14.309728647358	14.3912496212027	14.4467834152087	14.560354088926	14.361282662633
CCDC85C	CCDC85C_A6NKD9	A6NKD9	14.722754075406	14.4301853905566	14.5122054186414	14.6261279624094	14.5467583073327	14.6045863526448	14.4646260757312	14.8376458820812	14.5263543256074	14.5640942091259
SAC3D1	SAC3D1_A6NKF1	A6NKF1	14.9693664918091	14.7342611487979	14.831562115841	14.9315615904619	14.8295794785361	14.8371774594276	14.8473588228757	14.9011725110114	14.8142379126562	15.0079921328521
RGPD4	RGPD4_Q7Z3J3	Q7Z3J3	12.1804232582543	12.2610456983346	12.1041505353675	12.2139410419915	12.5067130957854	12.4423893936606	12.5490090178426	13.3833401284979	12.5294149647186	12.4600292754755
LRRIQ3	LRRIQ3_A6PVS8	A6PVS8	14.1904010269616	14.1030762364306	14.2833611995802	14.1948177636553	14.1746743189654	14.3221545753523	14.4286027281156	14.3691828286678	14.5425176835393	14.6334396496789
ZSWIM8	ZSWIM8_A7E2V4	A7E2V4	13.6533996136511	13.6060584895342	13.752123436133	13.5443578114016	13.693575192925	13.4395697224494	13.2741011860696	13.2587426362301	13.2606063049021	13.6068934162497
ARHGAP32	ARHGAP32_A7KAX9	A7KAX9	11.672547397921	11.4594431705663	11.8350407815618	12.2649547546415	12.2014724784198	11.6128446020555	12.1725057315249	12.0813753049405	11.7246345402927	12.1603692820095
DISP2	DISP2_A7MBM2	A7MBM2	11.849160295212	12.0843288463899	12.7255062559604	12.1919551947929	12.6314295930063	12.7492705761891	12.9016708999104	12.4779456511074	12.9057872531091	12.9713385107651
CYSRT1	CYSRT1_A8MQ03	A8MQ03	13.97658139416	13.7680971849047	14.3270096755971	14.1904010269616	14.268224903254	14.0933175544055	14.0047348337449	14.1731297491377	14.0148777413255	14.1753022297011
SNRPG	SNRPG_P62308	P62308	15.5578455199023	15.3263137324394	15.4870001645459	15.5878035031479	15.6808138110448	15.9423886895693	16.0672011822223	15.9499285664327	15.9297504755088	16.0785697933516
NUDT19	NUDT19_A8MXV4	A8MXV4	17.4924026886741	17.637855576553	17.6612466861088	17.5100680932709	17.4228275304473	17.6806270117471	17.7531975349051	17.6199112542359	17.6417879191751	17.658713957585
MIF4GD	MIF4GD_A9UHW6	A9UHW6	13.5923304780289	13.3563292346556	13.5122098007003	13.659979813911	13.5601814063173	13.5101449130257	12.9340868143058	13.2402185122035	13.5118563073111	13.4534538701632
HACD1	HACD1_B0YJ81	B0YJ81	13.7023022477443	13.6620075726167	13.7257504354777	13.6770736316444	13.5751120340867	13.5624950607492	13.4404081672383	13.6060584895342	13.4674806688857	13.5851472622563
HMGB2	HMGB2_P26583	P26583	15.7555985134446	15.8296269948126	15.8017106223612	16.1389347725963	16.0060731912501	15.9616205838694	15.7278037715942	15.5087514745204	15.8527748689382	16.0009080764531
GPR89B	GPR89B_P0CG08	P0CG08	13.3172737116747	13.4863993466273	13.4211130216014	13.6586452178588	13.5933526751059	13.5142826195568	13.5601814063173	13.4991458149986	13.5674855564194	13.6586452178588
WASH3P	WASH3P_C4AMC7	C4AMC7	14.6702728756346	14.4062975794496	14.4561534415926	14.5434347845552	14.5656211563554	14.1120825283439	14.037565816523	14.3810729323234	14.2567169754338	14.2308531231521
TMEM238	TMEM238_C9JI98	C9JI98	11.1012942641074	10.7345222971484	11.0039293928057	10.8877457547324	11.0743319388185	10.8741745507511	10.8877457547324	11.0230902915138	11.2954974839487	11.2112273335267
FAM195B	FAM195B_C9JLW8	C9JLW8	13.3410675008099	13.4395697224494	13.2837821145055	13.5421365543917	13.1280548836848	13.3810101807955	13.2987205241725	13.2322805973779	13.2366506993286	13.4460330769383
NACA	NACA_Q13765	Q13765	15.349817618522	15.1955327627679	15.1876785979685	15.1623880999646	15.435605977345	15.3016603620819	15.3122420783498	15.3245802397393	15.2749353344521	15.298655255211
NDUFC2-KCTD14	NDUFC2-KCTD14_E9PQ53	E9PQ53	15.223307517897	15.3372338670784	15.4036993296632	15.0060957600777	15.1552825751397	15.4327514515854	15.4015520868603	15.1855894515065	15.3998802339877	15.3004599308285
C11orf98	C11orf98_E9PRG8	E9PRG8	17.3358171864362	17.11050703658	16.9640455092199	17.222164354067	17.2757891288611	16.8855038191402	16.9965363781532	16.9972627399121	17.0649956078751	17.0078786824286
CNKSR3	CNKSR3_G9CGD6	G9CGD6	13.9138453502263	14.2410015507521	14.230311087947	14.0125099288117	13.8854871795542	14.0343814161748	14.1263576615063	14.1487227803029	13.9929545554522	14.0684694486809
SLC35A4	SLC35A4_L0R6Q1	L0R6Q1	16.2604588617164	16.3455353346565	16.4433361671266	16.3001767281813	16.1893989484063	16.4755330407226	16.4847488519226	16.3001767281813	16.5115111552868	16.4185822333722
SMCR7L	SMCR7L_L0R8F8	L0R8F8	15.0073419478441	14.9497223358524	15.1481303575963	14.959634853829	15.0241724616616	15.1569588085918	15.3553229249987	15.0100082918385	15.1569588085918	15.177446645841
DNASE2	DNASE2_O00115	O00115	16.588385067454	16.8618787668171	16.7347280183038	16.4444246157126	16.6486939759934	16.8136475622282	16.821346244243	16.7682480760487	16.6713689950368	16.6599342921
AGPS	AGPS_O00116	O00116	18.3981216136212	18.4744597150061	18.5610007405536	18.4898914816774	18.4590268829751	18.5909580422994	18.5923376438584	18.5554090936371	18.5684243775384	18.5890147185696
UBXN8	UBXN8_O00124	O00124	12.5601415004978	12.1122095170163	12.7428716025632	12.5403890384774	12.2791625138661	12.444133551407	12.4172667554976	12.6550364854788	12.678381982044	12.5762519153123
KIF2A	KIF2A_O00139	O00139	17.9699166514075	17.9599530422459	17.9089367751788	17.9591611156579	17.9848945185955	17.8407465399136	17.9045600119215	17.9472907023786	17.9005257519482	18.0031817352784
TK2	TK2_O00142	O00142	15.885738963278	15.9418673616993	16.2392664364383	16.0688601317713	15.8875364378244	16.1709333549564	16.3126810071405	15.9381674617694	16.0746939605443	16.1779791548463
DDX39A	DDX39A_O00148	O00148	17.4016742874961	17.4045807423916	17.5568960691916	17.4170215243437	17.3901368561823	17.2889960092559	17.1860797890795	17.0274711730533	17.2253843556661	17.2502479915644
PDLIM1	PDLIM1_O00151	O00151	17.226161927324	17.2828240905738	16.9253387307798	16.9762462794286	17.0039254430451	17.0335454267117	17.2023004449886	17.2880050858985	17.0526080905519	16.8756417350287
ACOT7	ACOT7_O00154	O00154	18.4744597150061	18.2640502222283	18.3279495022482	18.3685201713822	18.5437951306872	18.1483523729423	18.2265045606446	18.3842671385097	18.0769946914475	18.1684946369568
MYO1C	MYO1C_O00159	O00159	19.6062695210094	19.5693862874708	19.5818017677756	19.6879457870809	19.5189575762743	19.7296171564531	19.814589789788	19.8616152795896	19.7508887337068	19.7056041585427
SNAP23	SNAP23_O00161	O00161	15.9845349097034	16.11597417725	16.2866554307977	16.0580369302201	16.1652992519365	16.1571996746806	16.1904087168669	15.9833830690774	16.2357681899634	16.1437055125046
HAX1	HAX1_O00165	O00165	15.3122420783498	15.3966980122143	15.6010080107659	15.4626388062194	15.5774810074668	15.7089664255704	15.7418091839675	15.871878840066	15.7706043043597	15.7418091839675
AIP	AIP_O00170	O00170	16.1389347725963	15.8123105148189	15.8435434159448	15.8845888403865	15.8057979485271	15.5054452951586	15.4715806426582	15.7400740819286	15.5327482253175	15.5207646678146
GTPBP1	GTPBP1_O00178	O00178	16.3676293027763	16.22215575108	16.2722576777395	16.2771472349217	16.2800969037299	16.1848920941076	16.0066559286879	16.0302609784041	16.1482251217507	16.2205272567254
LGALS9	LGALS9_O00182	O00182	16.7780093952468	16.7788783710398	16.8518568490988	16.7269097342961	16.835140018009	16.8496410994449	17.0219888349179	16.8920157673964	17.051184317998	16.9735004303204
STXBP3	STXBP3_O00186	O00186	17.1399821556227	17.0269766319132	17.1325690725577	17.1317491040477	17.0924909616101	17.2352279381969	17.306616203347	17.1944368406983	17.2418698653603	17.1680475180601
AP4M1	AP4M1_O00189	O00189	12.3498707505588	12.0947420920808	12.3417251669509	12.0023002605721	12.1658157661094	12.1183525161363	11.9386809815757	12.57366685504	12.042824411497	11.9464159869746
ARVCF	ARVCF_O00192	O00192	14.5619554657951	13.7823219595883	14.0136140935342	14.0659128685455	14.0640707577731	13.9722821565113	13.844631015572	14.0115539393347	13.9385426153364	13.7148669299491
SMAP	SMAP_O00193	O00193	14.4807994443961	14.5598361742485	14.9988587253668	14.7932223238992	15.1546548154464	15.336817710275	15.3052723742082	15.4707464918815	15.3597434194011	15.4777379663686
RAB27B	RAB27B_O00194	O00194	16.2554482208939	16.1991532962722	16.3484474813494	16.1171783356223	16.1278102193619	16.2383017487476	16.1431372570617	16.1374864856362	16.3417003816064	16.1613121514649
AP3B1	AP3B1_O00203	O00203	18.1874684770019	18.1556928066399	18.1088542783117	18.1249411924208	18.1422921587616	18.0447801207954	17.949698857782	18.0152883860475	18.0162651792617	18.0746002876619
RHOD	RHOD_O00212	O00212	14.5979231621199	14.5248069595127	14.7485979670501	14.6024209899718	14.5288920433064	14.6238883826596	14.7555025336092	14.3671907200968	14.5481285288123	14.6668408570358
LGALS8	LGALS8_O00214	O00214	13.9672219668839	14.0245396919017	14.1807056822749	13.932553810653	14.0659128685455	14.0600248529803	14.1887188430125	14.0331090792943	14.1351212444004	14.1848092124223
NDUFS8	NDUFS8_O00217	O00217	17.1244319321298	17.2530096639845	17.609722638623	17.4263605944898	16.952411103473	17.1748611347695	17.0811279517912	16.9752860861976	17.0692970240755	17.1955418669781
TNFRSF10A	TNFRSF10A_O00220	O00220	15.2521469585485	15.2907961321316	15.4807815255979	15.2873849005857	15.2637387983327	15.1357413860306	15.1357413860306	14.9088710707733	15.2297190628897	15.2959260320493
NFKBIE	NFKBIE_O00221	O00221	14.304565324558	14.3600827392744	14.1164300539156	14.1521922267597	14.166566314342	13.8433932281659	13.8360038174729	13.8145657855389	13.9097718234219	13.8290931864505
PSMD11	PSMD11_O00231	O00231	17.2812439300256	17.2544797349798	17.0781880127495	17.1083586709761	17.1379210558729	17.0844400496124	16.9507905900312	17.0558169159391	17.0519967433978	17.0629982844201
PSMD12	PSMD12_O00232	O00232	17.5683416634998	17.5488896052278	17.4554276154808	17.4843868543613	17.5048950188431	17.4283876205845	17.3754631911509	17.4272314922569	17.4030430097581	17.4286780724812
PSMD9	PSMD9_O00233	O00233	16.6056701839653	16.5507511573393	16.4652831315216	16.5509438041011	16.632912299773	16.2116627052157	16.1117304745181	16.2536523408603	16.1665726740902	16.2106507361357
ATOX1	ATOX1_O00244	O00244	12.1816364754502	12.2825383605096	12.335248220188	12.1534099879138	12.2580634650446	11.6383064972654	11.1439821994961	11.3898795695044	11.5950320367724	11.5301798405889
MEN1	MEN1_O00255	O00255	16.4644335722566	16.2700315062115	16.3603672699881	16.3688659058974	16.4372747163175	16.6542936551175	16.6115503932761	16.6904561303238	16.6136065486931	16.5497005004934
CBX4	CBX4_O00257	O00257	13.9416804870561	14.3353292107128	13.800182359638	13.7541468997823	13.8134383571297	14.2460359849605	14.6313810527527	14.6719118105738	14.309728647358	14.4031899649295
PGRMC1	PGRMC1_O00264	O00264	17.7531975349051	17.8476897608978	17.9699166514075	17.8310974930679	17.7512285825273	18.0105827652396	18.0373139603281	17.9272978719658	17.983731886779	17.9682344753031
SUPT5H	SUPT5H_O00267	O00267	17.6264729399798	17.5834870945286	17.57298933298	17.6629007698135	17.7345215978246	17.7899876374434	17.7246165754679	17.8782452864907	17.8148153798005	17.7333784900415
TAF4	TAF4_O00268	O00268	16.3536628197951	16.3031236526337	16.3668451972378	16.4949506600084	16.3662315334555	16.4783653883691	16.5934987526713	16.5479086371949	16.4924268370106	16.4609312811491
DFFA	DFFA_O00273	O00273	16.2800969037299	16.1904087168669	16.3553549472575	16.2881261848132	16.38102512916	16.3227889713257	16.2979677837666	16.4107410472645	16.2707926494138	16.3163258792259
HIP1	HIP1_O00291	O00291	16.5372223609374	16.4697118110255	16.5507511573393	16.3916997308002	16.4860566508281	16.822242599412	16.8100151666808	16.7992509411316	16.8675132590478	16.7385328180331
CLIC1	CLIC1_O00299	O00299	18.036182494867	17.8988485701722	17.9440864315275	18.0031817352784	18.0602074955246	17.7210086909657	17.637855576553	17.6459944689128	17.727790097793	17.7969132682887
EIF3F	EIF3F_O00303	O00303	16.9669415969592	17.0619762174657	16.8606789996227	16.9929095902633	16.9246136982806	16.8452751810412	16.8122855605803	16.7627666011243	16.8019418612021	16.913443907318
WWP2	WWP2_O00308	O00308	16.6105049463739	16.5070019868656	16.6342346820417	16.6056701839653	16.5157913548691	16.387935938632	16.3610426700463	16.2667658297428	16.3163258792259	16.3182743215448
PDHX	PDHX_O00330	O00330	16.1613121514649	16.2150674653515	16.3417003816064	16.1774111250407	16.1623380344833	16.3310314963907	16.5428567040564	16.5087774707767	16.28304994701	16.3561314620413
MATN2	MATN2_O00339	O00339	15.9212330212372	16.4144612629661	15.8889186362577	15.8677990919826	15.8916272659107	15.9297504755088	16.5895987674004	16.1746565458473	15.8489741184221	15.862516045823
QSOX1	QSOX1_O00391	O00391	18.3869485256943	18.3950286196263	18.5156403361381	18.4451999865414	18.3315707667207	18.1195517815663	18.0969633801597	18.0857849368845	18.2128374146826	18.1874684770019
SLC33A1	SLC33A1_O00400	O00400	12.7390088756956	12.5847914107759	12.6249038573182	12.9597911175887	12.8356572475929	12.5943885763459	12.5891349296931	12.744389949534	12.57366685504	12.5110616633411
WASL	WASL_O00401	O00401	16.4956273341006	16.0636200012407	16.2226327307026	16.3149828381769	16.2979677837666	15.9828677691503	16.0800052987447	16.0681989399914	16.0097531733437	15.9925078144367
IPO5	IPO5_O00410	O00410	18.9073267637977	18.8061114978208	18.7709293719959	18.8751395711841	18.8701860713734	18.6051115252598	18.4862899805442	18.5717539402071	18.6026343125707	18.5909580422994
POLRMT	POLRMT_O00411	O00411	17.4476116896755	17.384010956963	17.644250593153	17.4449738970828	17.4590594758821	17.69928079751	17.7454016112538	17.6331183932076	17.7088127301247	17.6816304024461
EEF2K	EEF2K_O00418	O00418	13.0972403139485	12.7177980876429	12.855167156688	12.928966598866	12.9232862640228	12.4177916586579	12.1919551947929	12.6314295930063	12.4057842215145	12.2254274938061
CCRL2	CCRL2_O00421	O00421	15.2749353344521	15.3461337696685	15.6251048165811	15.4516249186589	15.4302469218431	15.4396311861082	15.5902768482509	15.7485310409728	15.4090203043317	15.4782940300425
SAP18	SAP18_O00422	O00422	16.3553549472575	16.0552958583759	16.065185381018	16.3068948638653	16.371853626718	16.664563704411	16.5769083877855	16.5824002601152	16.7164424829697	16.5736271140351
IGF2BP3	IGF2BP3_O00425	O00425	17.5488896052278	17.1231232764828	17.2902333497395	17.4188454044361	17.4976379584448	17.377672090546	17.3094303698519	17.4565317639674	17.4280971686878	17.2573589311744
DNM1L	DNM1L_O00429	O00429	18.0202736829787	17.9089367751788	17.8213402614948	17.9514968716573	17.99628486871	17.6380171904262	17.5390783999617	17.7305551874369	17.644250593153	17.6750374586049
RTCA	RTCA_O00442	O00442	14.2519032322909	14.2051230325518	13.802266579667	14.268224903254	14.294590017963	13.7599549100035	13.5430660527697	13.888308791625	13.7890773789328	13.8298444156793
PIK3C2A	PIK3C2A_O00443	O00443	16.1830786777876	16.0532895282599	16.2528879805942	16.2298530759569	16.1700024594019	16.2421930124946	16.2895755143974	16.2866554307977	16.2630105014866	16.3357929592626
PIK3R2	PIK3R2_O00459	O00459	15.973575989145	15.7513967605747	15.6406231975895	15.816967909184	15.8416170214362	15.5445573302016	15.4020421228944	15.7839584818684	15.502393764585	15.6087680334682
GOLIM4	GOLIM4_O00461	O00461	16.2730294496438	16.3746128883615	16.626820011418	16.4609312811491	16.5338806357985	16.8655312713367	16.740837099328	16.6556042905575	16.7920188607132	16.8785307771865
AGRN	AGRN_O00468	O00468	19.386621447745	19.386621447745	19.409990203759	19.4001513745377	19.4437125459744	19.1335913976425	19.1761457004713	19.3105801754378	19.1422012900305	19.124354266277
PLOD2	PLOD2_O00469	O00469	16.3417003816064	16.4450368585677	16.5610007775986	16.4546536006895	16.3649493987125	16.9903646774276	16.940188253215	16.8066121212435	16.9975726002163	16.9233324715054
EXOC5	EXOC5_O00471	O00471	17.7178800725322	17.5118502758255	17.5430024559734	17.5606896257405	17.5834870945286	17.4128350852762	17.5530418398408	17.5606896257405	17.5011587349096	17.480210231565
BTN3A3	BTN3A3_O00478	O00478	16.1000859383754	16.2167879924941	16.2294765018531	16.0423966216559	16.1546287743152	16.4901452025648	16.5009120554221	16.4148725262614	16.4477259383296	16.4356662411532
BTN3A1	BTN3A1_O00481	O00481	14.7777510454277	14.7782947096654	15.0325102000019	14.7980088910869	14.8950663001891	15.0683686659062	15.0375933339705	14.8984956383327	14.9630347245558	15.0471926552158
NDUFA4	NDUFA4_O00483	O00483	17.2361618794074	17.4794646701908	17.3149915433075	17.2722962293367	17.1393793332227	16.8025034440248	16.7385328180331	16.7365260839104	16.8259322265254	16.7764166486356
ZNF593	ZNF593_O00488	O00488	15.4558264717738	15.3607743332028	15.2096176404768	15.2706185504285	15.3038854585584	15.1838567543738	15.488108823008	15.3994634507328	14.9902216992737	14.9003829870881
BIN1	BIN1_O00499	O00499	15.5540804019902	15.4081399166713	15.2143191645516	15.322987551992	15.302607815167	15.0901790097256	14.8700865290656	14.9203369025966	15.0259005313754	14.9489792452249
KPNA3	KPNA3_O00505	O00505	15.7775121927043	15.871878840066	15.8903232573005	15.8963965108076	16.0470952557312	15.6706510573586	15.7903935849981	15.5417837451405	15.5748151710347	15.6470367006938
STK25	STK25_O00506	O00506	14.6057181239725	14.6816790584372	14.5241762273477	14.7904393725295	14.6213227402022	14.491234165233	14.4069503515084	14.5434347845552	14.5852794878447	14.6219736608651
FAAH	FAAH_O00519	O00519	13.3276638046384	13.4643322350454	13.3626159148936	13.2450147080868	13.3899836600628	13.3449291439697	13.357422846456	13.4149578371925	13.4047157000525	13.3822042724891
KRIT1	KRIT1_O00522	O00522	14.6788489097033	14.6324069043546	14.6118912875149	14.4691556006288	14.5974458980809	14.8933325046801	14.7389370972187	14.8386222949387	14.8691347226066	14.7866620893583
VWA5A	VWA5A_O00534	O00534	13.1179401148817	13.7664957264481	13.5074158655481	13.6791263425398	13.285059252474	13.3192675845542	13.6461129368494	12.928966598866	13.2266820805711	13.5057999516969
PES1	PES1_O00541	O00541	18.5028615405566	18.4432805211156	18.5816703348302	18.578043935101	18.5945217924307	18.5923376438584	18.5644603055706	18.5923376438584	18.5339217613294	18.5945217924307
EBAG9	EBAG9_O00559	O00559	15.2771327214999	15.223307517897	15.4707464918815	15.2399537470648	15.2147377320748	15.349817618522	15.2951057445485	15.0027929754253	15.3807349798952	15.2126276625815
SDCBP	SDCBP_O00560	O00560	17.0198669018038	16.9630866594656	16.9965363781532	16.9808275116027	17.0210057157641	16.382019656423	16.3852455490183	16.4609312811491	16.382019656423	16.4030900424013
PITPNM1	PITPNM1_O00562	O00562	16.6530675208027	16.5537612041392	16.5962416951298	16.6178536728007	16.7473438868149	16.7231305987621	16.7637327556349	16.7199079121894	16.7540053387514	16.6881118132465
