Feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ESYT2_A0FGR8_S758	0.011928125476129	-0.00302549858514645	0.00196687979483665	-0.0113406774776577	-0.00925171393148706	0.00747415800723616	-0.0144534677955146	-0.000136878203990805	0.00747058705192299	-0.00219226336888111
ESYT2_A0FGR8_S761	0.00569442405308375	0.000542089017661996	-0.00347979801176233	-0.00836866126771717	-0.000986579058729154	-0.000369408487708441	0.0103444464984593	0.00905722869669542	0.0122384477523687	0.00583913639564664
MED19_A0JLT2_S226	0.0195680230082723	0.0236088427112066	0.0233526266206308	0.0504704591794556	-0.0475469642385393	-0.0334470760272563	-0.0266969333961681	0.0323076100432784	0.00637836694585495	0.0305845934322674
C1orf226_A1L170_S222	0.000682690977423544	-0.0105309865046605	0.00805399869332958	0.0094075406493556	-0.00751981432501094	-0.0136809696407741	0.0115740821171039	-0.00530480005111447	0.0101759790441507	0.0449335732109291
C1orf226_A1L170_S223	0.0114460407126844	-0.0204518309950366	0.0155367206823663	-0.00136391729337715	0.00451208704484233	-0.00875137892700247	0.00382845918392925	0.0263895359015256	0.00814183945782	0.00915719036188933
C1orf226_A1L170_S258	-0.000673059693181312	-0.00633353394979369	-0.00658470733474193	0.0139813804549959	-0.00649326440501374	-0.00241273236184566	0.0102844745770166	0.022407617874789	0.0244603078536032	-0.0064378745964872
PLEKHG3_A1L390_S1217	0.00274784649808803	0.013113430432835	0.0242590465669783	0.00325207138384044	-0.0230083124037607	0.0103674146099004	-0.0150581024791366	-0.00639718147657339	-0.00419876140020363	-0.00825130705257237
PLEKHG3_A1L390_S76	0.0193895268217	-0.00693355585067171	0.0185216488143648	0.0041133873605452	-0.0232156833741301	0.0106795081185841	0.00497219695501648	0.00596952288920941	0.00558735121358489	-0.00457565299877418
PLEKHG3_A1L390_S1081	-0.0033091208027488	0.00820783777540781	-0.014204723107981	-0.00612160667307077	-0.0244149383364796	-0.0142236116239386	0.00185085486593356	0.00507807502373029	0.0152406977482794	-0.00568491303795723
PLEKHG3_A1L390_S631	0.00676582319003485	0.0166744059001941	-0.0091719844115985	-0.00742111843160404	-0.00239434732461362	0.00687789797190041	0.00179589486522681	0.00456085884141429	0.0138764226405738	-0.0100217407252201
