Term	Description	p.Val	FDR	Phenotype	Gene_Hits	Gene_Total	Gene_Ratio	NES	Ionization
PROSTANOID BIOSYNTHESIS	PROSTANOID BIOSYNTHESIS	0.001942	0.3689	+1	6	10	0.6	1.744	positive
LACTOSE DEGRADATION III	LACTOSE DEGRADATION III	0.00611	0.5804	-1	2	4	0.5	-1.515	positive
CHONDROITIN SULFATE DEGRADATION (METAZOA)	CHONDROITIN SULFATE DEGRADATION (METAZOA)	0.01222	0.6481	-1	1	11	0.0909090909090909	-1.323	positive
THYROID HORMONE METABOLISM II (VIA CONJUGATION AND/OR DEGRADATION)	THYROID HORMONE METABOLISM II (VIA CONJUGATION AND/OR DEGRADATION)	0.01365	0.6481	+1	5	24	0.208333333333333	1.636	positive
ASPARAGINE BIOSYNTHESIS I	ASPARAGINE BIOSYNTHESIS I	0.1306	0.7224	+1	2	9	0.222222222222222	1.292	positive
METHIONINE SALVAGE II (MAMMALIA)	METHIONINE SALVAGE II (MAMMALIA)	0.03942	0.7224	-1	3	6	0.5	-1.459	positive
SERINE BIOSYNTHESIS	SERINE BIOSYNTHESIS	0.1324	0.7224	-1	1	11	0.0909090909090909	-1.238	positive
SELENOCYSTEINE BIOSYNTHESIS II (ARCHAEA AND EUKARYOTES)	SELENOCYSTEINE BIOSYNTHESIS II (ARCHAEA AND EUKARYOTES)	0.1324	0.7224	-1	1	14	0.0714285714285714	-1.238	positive
ANDROGEN BIOSYNTHESIS	ANDROGEN BIOSYNTHESIS	0.03704	0.7224	+1	5	15	0.333333333333333	1.481	positive
ESTROGEN BIOSYNTHESIS	ESTROGEN BIOSYNTHESIS	0.06628	0.7224	+1	5	18	0.277777777777778	1.435	positive
3-PHOSPHOINOSITIDE BIOSYNTHESIS	3-PHOSPHOINOSITIDE BIOSYNTHESIS	0.1037	0.7224	+1	1	15	0.0666666666666667	1.263	positive
CARDIOLIPIN BIOSYNTHESIS II	CARDIOLIPIN BIOSYNTHESIS II	0.1037	0.7224	+1	1	9	0.111111111111111	1.263	positive
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS III	PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS III	0.1324	0.7224	-1	1	4	0.25	-1.238	positive
PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS II	PHOSPHATIDYLETHANOLAMINE BIOSYNTHESIS II	0.1037	0.7224	+1	1	11	0.0909090909090909	1.263	positive
GUANINE AND GUANOSINE SALVAGE I	GUANINE AND GUANOSINE SALVAGE I	0.05295	0.7224	-1	1	7	0.142857142857143	-1.301	positive
PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO</I> BIOSYNTHESIS I	PYRIMIDINE DEOXYRIBONUCLEOTIDES <I>DE NOVO</I> BIOSYNTHESIS I	0.1267	0.7224	+1	2	26	0.0769230769230769	1.3	positive
GLYCINE DEGRADATION (CREATINE BIOSYNTHESIS)	GLYCINE DEGRADATION (CREATINE BIOSYNTHESIS)	0.08147	0.7224	-1	2	8	0.25	-1.377	positive
PUTRESCINE BIOSYNTHESIS III	PUTRESCINE BIOSYNTHESIS III	0.1039	0.7224	-1	1	4	0.25	-1.263	positive
D-<I>MYO</I>-INOSITOL (1,4,5)-TRISPHOSPHATE BIOSYNTHESIS	D-<I>MYO</I>-INOSITOL (1,4,5)-TRISPHOSPHATE BIOSYNTHESIS	0.1037	0.7224	+1	1	13	0.0769230769230769	1.263	positive
OXIDATIVE ETHANOL DEGRADATION III	OXIDATIVE ETHANOL DEGRADATION III	0.1331	0.7224	+1	1	15	0.0666666666666667	1.241	positive
ETHANOL DEGRADATION IV	ETHANOL DEGRADATION IV	0.1331	0.7224	+1	1	13	0.0769230769230769	1.241	positive
ETHANOL DEGRADATION II	ETHANOL DEGRADATION II	0.1331	0.7224	+1	1	12	0.0833333333333333	1.241	positive
METHYLGLYOXAL DEGRADATION III	METHYLGLYOXAL DEGRADATION III	0.07018	0.7224	+1	2	8	0.25	1.352	positive
4-HYDROXYPROLINE DEGRADATION I	4-HYDROXYPROLINE DEGRADATION I	0.05675	0.7224	+1	1	13	0.0769230769230769	1.301	positive
LYSINE DEGRADATION II	LYSINE DEGRADATION II	0.1202	0.7224	-1	2	17	0.117647058823529	-1.338	positive
CITRULLINE DEGRADATION	CITRULLINE DEGRADATION	0.1039	0.7224	-1	1	9	0.111111111111111	-1.263	positive
L-SERINE DEGRADATION	L-SERINE DEGRADATION	0.1324	0.7224	-1	1	4	0.25	-1.238	positive
TRYPTOPHAN DEGRADATION TO 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE	TRYPTOPHAN DEGRADATION TO 2-AMINO-3-CARBOXYMUCONATE SEMIALDEHYDE	0.1053	0.7224	+1	5	13	0.384615384615385	1.353	positive
ASCORBATE RECYCLING (CYTOSOLIC)	ASCORBATE RECYCLING (CYTOSOLIC)	0.1263	0.7224	-1	2	12	0.166666666666667	-1.332	positive
DERMATAN SULFATE DEGRADATION (METAZOA)	DERMATAN SULFATE DEGRADATION (METAZOA)	0.1263	0.7224	-1	2	12	0.166666666666667	-1.332	positive
SUCROSE DEGRADATION V (MAMMALIAN)	SUCROSE DEGRADATION V (MAMMALIAN)	0.06339	0.7224	-1	5	12	0.416666666666667	-1.473	positive
GUANOSINE NUCLEOTIDES DEGRADATION III	GUANOSINE NUCLEOTIDES DEGRADATION III	0.05295	0.7224	-1	1	12	0.0833333333333333	-1.301	positive
UREA CYCLE	UREA CYCLE	0.1286	0.7224	-1	3	17	0.176470588235294	-1.333	positive
D-GLUCURONATE DEGRADATION I	D-GLUCURONATE DEGRADATION I	0.06432	0.7224	-1	3	11	0.272727272727273	-1.419	positive
OXIDIZED GTP AND DGTP DETOXIFICATION	OXIDIZED GTP AND DGTP DETOXIFICATION	0.04481	0.7224	-1	1	10	0.1	-1.305	positive
TETRAHYDROBIOPTERIN BIOSYNTHESIS I	TETRAHYDROBIOPTERIN BIOSYNTHESIS I	0.1446	0.7537	-1	2	10	0.2	-1.311	positive
CHOLINE DEGRADATION I	CHOLINE DEGRADATION I	0.1468	0.7537	+1	1	9	0.111111111111111	1.238	positive
