"Pathway","Mummichog Pvals","GSEA Pvals","Combined Pvals"
"morphine biosynthesis",0.066031,0.9367,0.233984665252044
"urea cycle",0.076382,0.1286,0.055233740550103
"melatonin degradation I",0.2148,0.1684,0.156244928902404
"arginine biosynthesis IV",0.20874,0.2931,0.232117672547406
"arginine degradation VI (arginase 2 pathway)",0.20874,0.319,0.246990429579887
"proline biosynthesis II (from arginine)",0.20874,0.319,0.246990429579887
"citrulline-nitric oxide cycle",0.18043,0.4725,0.295157567951897
"coenzyme A biosynthesis",0.18043,0.7271,0.397652466811521
"lipoate biosynthesis and incorporation II",0.18043,0.2322,0.174813291397038
"NAD salvage pathway III",0.18043,0.7407,0.402613679264289
"salvage pathways of pyrimidine ribonucleotides",0.18043,0.271,0.196468645947941
"glycine degradation (creatine biosynthesis)",0.18043,0.08147,0.0767310919337245
"ketogenesis",0.18043,0.7617,0.410186162961881
"citrulline biosynthesis",0.36147,0.5521,0.521191172821032
"heme biosynthesis from uroporphyrinogen-III I",0.36147,0.6483,0.574364627445821
"tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde",0.36147,0.1053,0.162471711871677
"valine degradation I",0.36147,0.6339,0.566753802157691
"melatonin degradation II",0.36147,0.8344,0.663126605869608
"thyroid hormone metabolism II (via conjugation and/or degradation)",0.36147,0.01365,0.0311418082668669
"arginine degradation I (arginase pathway)",0.38853,0.2676,0.339323411816819
"glucocorticoid biosynthesis",0.38853,0.7365,0.644195011232
"pyrimidine ribonucleotides interconversion",0.38853,0.1843,0.260400898678446
"tryptophan degradation X (mammalian, via tryptamine)",0.38853,0.7812,0.665408821198622
"heme degradation",0.38853,0.6564,0.603497877190597
"melatonin degradation III",0.38853,0.4813,0.500532069050709
"4-hydroxy-2-nonenal detoxification",0.38853,0.3963,0.442055790482903
"ketolysis",0.38853,0.8541,0.697897316188074
"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",0.56831,0.3944,0.559340067811792
"serotonin degradation",0.56831,0.1961,0.355981599750907
"serotonin and melatonin biosynthesis",0.7062,0.5107,0.728464401745988
"androgen biosynthesis",0.7062,0.03704,0.121466011689004
"estrogen biosynthesis",0.7062,0.06628,0.190116849790309
"5-aminoimidazole ribonucleotide biosynthesis I",0.7062,0.4213,0.658198206989728
"nicotine degradation III",0.87631,0.7115,0.918042893839894
"prostanoid biosynthesis",0.80523,0.001942,0.0116666633889444
"tRNA charging",0.91301,0.734,0.938379760297497
"cysteine biosynthesis/homocysteine degradation",0.67007,0.5743,0.752316391401409
"proline biosynthesis I",0.67007,0.9837,0.933885564922555
"GDP-L-fucose biosynthesis II (from L-fucose)",0.42525,0.3894,0.463364857878346
"dolichyl-diphosphooligosaccharide biosynthesis",0.42525,0.775,0.69538027342981
"mevalonate pathway I",0.67007,0.54,0.729667356751907
"NAD biosynthesis III",0.42525,0.1813,0.274674895278856
"NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde",0.81084,0.7116,0.894296367907799
"glutathione biosynthesis",0.42525,0.3562,0.437357228310857
"tetrahydrobiopterin biosynthesis I",0.67007,0.1446,0.323053552983188
"tetrahydrobiopterin biosynthesis II",0.81084,0.4689,0.747878175409848
"pyridoxal 5'-phosphate salvage pathway",0.67007,0.945,0.922560119600151
"leukotriene biosynthesis",0.97981,0.921,0.995074646670338
"mineralocorticoid biosynthesis",0.67007,0.4521,0.664715546389479
"choline biosynthesis III",0.81084,0.8157,0.934821335344417
"palmitate biosynthesis I (animals)",0.67007,0.7563,0.851223247936959
"stearate biosynthesis I (animals)",0.81084,0.6515,0.865379379091678
"3-phosphoinositide biosynthesis",0.42525,0.1037,0.181744215328411
"cardiolipin biosynthesis II",0.42525,0.1037,0.181744215328411
"phosphatidylcholine biosynthesis I",0.81084,0.8157,0.934821335344417
"phosphatidylethanolamine biosynthesis II",0.42525,0.1037,0.181744215328411
"bile acid biosynthesis, neutral pathway",0.99346,0.2141,0.541932161581409
"L-carnitine biosynthesis",0.93805,0.6472,0.91008336695987
"inosine-5'-phosphate biosynthesis II",0.89168,0.1703,0.438072158565609
"guanine and guanosine salvage I",0.42525,0.05295,0.107934847560183
"uridine-5'-phosphate biosynthesis",0.89168,0.1952,0.478371602771687
"putrescine biosynthesis III",0.42525,0.1039,0.182009602585192
"(S)-reticuline biosynthesis II",0.81084,0.2905,0.576114328074619
"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis",0.42525,0.1037,0.181744215328411
"histamine degradation",0.42525,0.6354,0.623786827058879
"dopamine degradation",0.42525,0.723,0.670076472626208
"4-aminobutyrate degradation I",0.81084,0.8157,0.934821335344417
"spermine and spermidine degradation I",0.67007,0.4562,0.66798400535281
"methylglyoxal degradation VI",0.81084,0.3704,0.661595148803634
"methylglyoxal degradation III",0.67007,0.07018,0.190785561430276
"4-hydroxyproline degradation I",0.42525,0.05675,0.114008284456892
"glutamate degradation III (via 4-aminobutyrate)",0.81084,0.8157,0.934821335344417
"leucine degradation I",0.81084,0.5816,0.826054313070878
"lysine degradation II",0.67007,0.1202,0.283426447432446
"citrulline degradation",0.42525,0.1039,0.182009602585192
"phenylalanine degradation IV (mammalian, via side chain)",0.93805,0.7622,0.954856870415731
"proline degradation",0.42525,0.4521,0.50927141483942
"tyrosine degradation I",0.67007,0.9695,0.929850636271509
"chondroitin sulfate degradation (metazoa)",0.42525,0.01222,0.0325291838682735
"dermatan sulfate degradation (metazoa)",0.67007,0.1263,0.293620554313032
"lactose degradation III",0.81084,0.00611,0.0312488854534516
"sphingosine and sphingosine-1-phosphate metabolism",0.67007,0.8676,0.89667705537653
"acetone degradation I (to methylglyoxal)",0.81084,0.2035,0.46230932048178
"noradrenaline and adrenaline degradation",0.89168,0.8067,0.956298649680979
"thyronamine and iodothyronamine metabolism",0.42525,0.4031,0.473739885414471
"thyroid hormone metabolism I (via deiodination)",0.42525,0.2935,0.384536775183136
"guanosine nucleotides degradation III",0.42525,0.05295,0.107934847560183
"&alpha;-tocopherol degradation",0.67007,0.694,0.821080694467116
"nicotine degradation IV",0.9988,0.7918,0.976420512807041
"D-glucuronate degradation I",0.81084,0.06432,0.206191398320605
"oxidized GTP and dGTP detoxification",0.67007,0.04481,0.135287323681633
