Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	0.370922553532119	0.998099809980998	1	PCM1,POLR2A,HIST1H4A,CSNK1D,DDX41,DYNC1H1,AKAP1,HDAC2,BCKDHA,DYNC1I2,CSNK1E,AMFR,NEDD4L,PRKAR2A	1.0537925491714	0.442509218845535	14	29
HYALURONAN METABOLISM	HYALURONAN METABOLISM	0.981998199819982	0.998099809980998	1	IRS1,ERBB2,AXL,EIF4EBP1,PTK2,PTPN11,KIRREL,PLCG1,HSP90AA1,ITGB4,TUBA1A,NUP214,RAF1,H2AFX,MCM2,PTPRA,ATP1A1,ARAF,BACH1,SOS1,BAG6	0.695138428368857	0.284985114986238	21	39
N-GLYCAN BIOSYNTHESIS	N-GLYCAN BIOSYNTHESIS	0.64445564516129	0.998099809980998	1	SLC38A1,CHPF2,DYNC1H1,DYNC1I2,STT3B,YBX1,NEDD4L,MYC,SENP3,SUMO1,DPM1	0.920739206982676	0.410984220040903	11	16
GLYCOLYSIS AND GLUCONEOGENESIS	GLYCOLYSIS AND GLUCONEOGENESIS	0.6917	0.998099809980998	1	HIST1H4A,ALDOA,PFKFB2,RPTOR,SNX9,RANBP2,NUP98,BCKDHA,PTPN11,NUP107,NUP35,POM121,HIF1A,HSP90AA1,KIF23,ABL2,TUBA1A,NUP214,SUMO1,NUP93	0.925463510433304	0.378108707807991	20	41
GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIOSERIES	GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIOSERIES	0.961696169616962	0.998099809980998	1	VIM,GYS1,RABL6,EIF4EBP1,PTPRK,TFIP11,USP42,METTL18,TUBA1A,MYC,SDCBP,NUP214,H2AFX,VCP,M6PR,OFD1,LRIG1,BACH1,BAG6,MBD1,MBD2,NCOA5	0.714676555512166	0.297165228822448	22	33
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM	0.614544726034258	0.998099809980998	1	KPNA2,DYRK1A,TOP2A,CSNK1D,TOP1,PIK3C2A,EPRS,SLC2A1,KPNA4,MAPT,RAB7A,MYC,EDC4,ITCH,CLTC,ATP2A2,AGTRAP	0.947987499427338	0.404891973272053	17	24
PYRUVATE METABOLISM	PYRUVATE METABOLISM	0.9908	0.998099809980998	1	WNK1,HIST1H4A,CSNK1D,EIF3B,XPO1,WASL,MDN1,NEDD4L,PRKAR2A,PSMD2,MAP3K7,TUBA1A,SUMO1,NUP93,BAG3,MCM2	0.673715755712234	0.27425471926675	16	43
SIALIC ACID METABOLISM	SIALIC ACID METABOLISM	0.782078207820782	0.998099809980998	1	VIM,ARFGAP1,OSBPL11,LIMA1,EIF4EBP1,MYO18A,UNC93B1,KIAA1671,SCAMP2,PIK3C2A,JUNB,USP42,TNFRSF14,MYC,SUMO1,H2AFX,BAG3,MCM2,VCP	0.883984299632306	0.361757117251245	19	40
CHONDROITIN SULFATE DEGRADATION	CHONDROITIN SULFATE DEGRADATION	0.898718975180144	0.998099809980998	1	IRS1,AXL,EIF4EBP1,PTPRK,PTK2,PTPN11,PLCG1,ITGB4,TUBA1A,MYC,NUP214,H2AFX,ATP1A1,BACH1,SOS1,BAG6	0.778889591425933	0.329091537712484	16	27
DI-UNSATURATED FATTY ACID BETA-OXIDATION	DI-UNSATURATED FATTY ACID BETA-OXIDATION	0.3604	0.998099809980998	1	PRKAA2,HIST1H4A,ALDOA,CSNK1D,ERBB2,TRAF1,ATF2,VCL,XPO1,LEO1,SQSTM1,WASL,RTN3,MAP3K1,KDM1A,YBX1,NEDD4L,HERC2,HSD17B4,PSMD2,CLK1,PGRMC2,MYC,SUMO1,BAG3,MCM2	1.05003400932133	0.426557639214843	26	44
