Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	VITAMIN D3 (CHOLECALCIFEROL) METABOLISM	0.0682038052241213	0.0992055348714491	-1	APP,ATP6V1A,ATP6V1B2,PRKAR1A,PRKAR1B,ATP6V1E1,TUBB4B,NEDD4L,GMPPB,HSPA6,DYNC1I2,DCTN2,MAPRE1,PAFAH1B1,TUBA4A,PPP2R4,DYNC1H1,DCTN1,CAD,GPSM1,ESD,ACTR1A,HSP90AB1,PKM,NFKB1,YWHAG,CASP3,HSPA1B,CHCHD2,FOXO1,NIT2,IQGAP1,RELA,IDE,LCMT1	-1.25953439211494	-0.307883646743511	35	135
HYALURONAN METABOLISM	HYALURONAN METABOLISM	0.260235372120007	0.323848463082675	-1	CRKL,TGFBR2,FGFR1,TUBA4A,PTPN11,HSP90AA1,ABCE1,PIK3R1,ARAF,EIF4EBP1,CRK,TSNAX,PTK2,EIF6,SHC1,MAPK1,FBXO6,PLCG1,CD2AP,VHL,FLRT2,RASA1,PIK3R2,IRS2,BCR,CSF2RA,BAG6,RHOB,NAPRT,CDK4,CBL,TUBA1A,PPP5C,STAT3,IRS1,MCM2,JAK1,ERLIN2,IDS,HLA-E,GAB2,EGFR,SOD1	-1.09702269723708	-0.277884698982283	43	106
N-GLYCAN BIOSYNTHESIS	N-GLYCAN BIOSYNTHESIS	0.440380515007381	0.508480594647697	-1	APP,PDIA4,PDIA6,NEDD4L,DYNC1I2,DCTN2,PDIA3,FUT11,PAFAH1B1,HSP90B1,DYNC1H1,ISG15,DCTN1,CFP,CALR,AGRN,DCTN3,DYNC1LI2,STUB1,ILK,UGGT1,DCTN5	-1.00281277058343	-0.250282324906348	22	117
GLYCOLYSIS AND GLUCONEOGENESIS	GLYCOLYSIS AND GLUCONEOGENESIS	0.00447212905286695	0.00963227796002113	-1	APP,ENO2,PFKM,PGK1,TPI1,GAPDH,PFKL,ACSS2,LDHB,PFKP,HSPA6,PGM1,ALDOC,GALM,TUBA4A,HSPH1,PTPN11,ISG15,ENO1,ALDOA,HSP90AA1,FBP1,NUP62,PPP2R5D,ACTB,ALDH3B1,YWHAZ,LDHA,HSP90AB1,PKM,MMS19,YWHAQ,TRAPPC2B,PEA15,HSPA1B,ABL2,ELP3	-1.46696099335001	-0.352762297848438	37	152
GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIOSERIES	GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIOSERIES	0.184031413612565	0.242488450877733	1	SDF4,NEU1,PLK1,CHST14,H2AFX,ATP6AP2,CTSA,NCOA5,MBD2,HNRNPD,ELAVL1,GLB1,SDC4,NAAA,CHST12,PHF5A,CHST15,SMC6,TFIP11,PON2,GPC6,TMEM259,CSPG4,ZMYM2,INTS1,KDM5B,ST3GAL1	1.12850965248209	0.263908828429828	27	127
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM	0.000158302991926547	0.00106571260014844	-1	SARS,GFPT1,HSPA5,LAMC1,GALE,WARS,PEPD,ATP6V1A,MTHFD1,NARS,PRKAR1A,IMPDH2,CTSL,VPS4B,SLC2A1,G6PD,LDHB,IPO9,APRT,AHSA1,CDK6,HARS,PRPS2,FASN,FGFR1,EPRS,SLC2A3,HSP90B1,PTGES3,NPEPPS,CAD,ARRB2,WWP2,CCT8,ABCE1,PYGB,ESD,AK1,PTPRF,CDK5,LDHA,TROVE2,TXN,CKB,CCT7,COPB1,CCT4,CCT3,HSPA1B,DDX39A	-1.99469109507854	-0.474591068902651	50	165
PYRUVATE METABOLISM	PYRUVATE METABOLISM	0.000160384923817161	0.00106571260014844	-1	GFPT1,TARS,ATIC,GOT1,ATP6V1A,ATP6V1B2,ASNS,PRKAR1A,TUBB3,PRKAR1B,TUBB4B,IPO4,GAPDH,HUWE1,NEDD4L,AKR1A1,HSPA6,BAG3,IARS,CTPS1,TUBA4A,ISG15,NPEPPS,CAD,ACACA,TXN,HSP90AB1,LTA4H,AKR1B1,ABCF3,AKR1D1,AKR7A2,NFKB1,HECW2,CCT4,CCT3,CTPS2,AKR1C3,HSPA1B,MAPK1,GLO1,ATP6V1D,TCP1,MYL1,CSE1L,IKBKG,TUBB6,TUBB,MAT2A,WASL,CLUH,TUBB4A,VHL,TRAF4,PSMD8,HAGH,GBF1	-1.92687922864708	-0.466173330624861	57	146
SIALIC ACID METABOLISM	SIALIC ACID METABOLISM	0.394084732214229	0.46460515797888	-1	ENO2,ATP6V1A,GDI1,PGLS,SERINC5,IMPA1,HSPA6,BAG3,KEAP1,CTPS1,HSPH1,HSPA4,GDI2,ABCE1,EIF4EBP1,SERINC1,CRK,HSP90AB1,MMS19,CTPS2,HSPA1B,SERINC3,ILK,FBXO6,EPS15,CSE1L,HERPUD1	-1.02474252829175	-0.247151903461555	27	149
CHONDROITIN SULFATE DEGRADATION	CHONDROITIN SULFATE DEGRADATION	0.538954635108481	0.574884944115713	-1	LOXL2,NDST1,HSPA5,CRKL,IDUA,TGFBR2,FGFR1,TUBA4A,PTPN11,ABCE1,PIK3R1,EIF4EBP1,CRK,TSNAX,PTK2,SHC1,MAPK1,FBXO6,PLCG1,FBXO21,FLRT2,PIK3R2,BAG6,AP3M1,MTHFSD,RHOB,NAPRT,CDK4,ARSA,CBL,TUBA1A,PPP5C,XYLT2,STAT3	-0.963314370480037	-0.241296840127258	34	114
DI-UNSATURATED FATTY ACID BETA-OXIDATION	DI-UNSATURATED FATTY ACID BETA-OXIDATION	0.0296	0.0487529411764706	-1	SQSTM1,RRAGA,CALCOCO2,ATP6V1A,ATP6V1B2,PAICS,TUBB3,TUBB4B,IFRD2,NEDD4L,GMPPB,HSPA6,BAG3,SPG20,PARK7,GTPBP2,IPO7,ALDOA,CAD,NDRG1,HGS,YWHAZ,VCL,YWHAQ,NT5C2,HECW2,HSPA1B,MAPK1,FBXO6,FERMT2,TUBB6,TUBB,WASL,SLC27A1,PSMC3,CLUH,PPP3CB,RABAC1,TUBB4A	-1.32667931703799	-0.318581359096454	39	155
