GeneName	pValue	rank	DataSet
TXNIP	4.77006921361234e-12	7.46329918132726	Proteomics
HKDC1	8.17188291258345e-11	6.61584049246057	Proteomics
PIGG	1.00717427425592e-10	6.61584049246057	Proteomics
SDF4	1.36319239715053e-09	5.60932669808026	Proteomics
SDCBP	3.02888000434022e-09	-5.41567004905031	Proteomics
NDFIP2	3.60801935451877e-09	-5.41567004905031	Proteomics
NEU1	3.72607723646308e-09	5.41567004905031	Proteomics
CD68	4.83085643735782e-09	5.39686699113767	Proteomics
SARS	5.19270801011214e-09	-5.39686699113767	Proteomics
UTS2	5.55849054010921e-09	-5.39686699113767	Proteomics
CNTD2	6.41311425307232e-09	-5.39254736838391	Proteomics
MAP1LC3A	6.73686337224543e-09	-5.39254736838391	Proteomics
CAPG	8.23810771764389e-09	-5.33993974803542	Proteomics
SQSTM1	1.01592084497118e-08	-5.28109202629466	Proteomics
SAA1	1.24384255210351e-08	5.22314971104025	Proteomics
PNP	1.35890408831464e-08	-5.21275503943898	Proteomics
AARS	1.81433967775225e-08	-5.11355418514632	Proteomics
CALCOCO1	1.96397980569103e-08	-5.11106568524711	Proteomics
ANKS1A	2.03944396696845e-08	-5.11106568524711	Proteomics
CLU	3.02345493912684e-08	-4.97683953573404	Proteomics
GFPT1	3.07046125121116e-08	-4.97683953573404	Proteomics
F10	3.91268102203759e-08	-4.89980004580029	Proteomics
GNPDA1	4.42021473107278e-08	-4.89980004580029	Proteomics
EPG5	4.50078365678941e-08	-4.89980004580029	Proteomics
APP	4.77114539000634e-08	-4.89980004580029	Proteomics
UAP1L1	4.78339719871119e-08	-4.89980004580029	Proteomics
MTRF1L	4.79159214971865e-08	-4.89980004580029	Proteomics
SNRPB	4.92774291857171e-08	4.89980004580029	Proteomics
TBC1D15	5.06316189391848e-08	-4.89980004580029	Proteomics
GARS	6.21369356595804e-08	-4.82559528492409	Proteomics
XPOT	6.58205320450604e-08	-4.82031938780191	Proteomics
CYR61	6.70894841392571e-08	-4.82031938780191	Proteomics
CTH	7.23962865504206e-08	-4.80062151155505	Proteomics
LOXL2	8.69160575036996e-08	-4.75908114404889	Proteomics
METAP2	8.75417758527408e-08	-4.75908114404889	Proteomics
PDIA4	9.03119988198069e-08	-4.75908114404889	Proteomics
PSAT1	9.22020554466657e-08	-4.75908114404889	Proteomics
LAMP1	9.33164573312846e-08	-4.75908114404889	Proteomics
IGFBP4	9.61184326393482e-08	4.75908114404889	Proteomics
LAMB2	9.65612122384151e-08	-4.75908114404889	Proteomics
SPIRE1	1.17211493383866e-07	-4.69733441107084	Proteomics
LGALS3BP	1.19646094836944e-07	-4.69733441107084	Proteomics
TARS	1.1966245442826e-07	-4.69733441107084	Proteomics
PDCD6IP	1.47269909929925e-07	-4.63054704140932	Proteomics
HYOU1	1.48222614267065e-07	-4.63054704140932	Proteomics
VCAM1	1.50267636592739e-07	4.63054704140932	Proteomics
SNX2	1.52536816599703e-07	-4.63054704140932	Proteomics
FAM20C	1.712905157026e-07	4.5957014301735	Proteomics
HNRNPA2B1	1.73061713812508e-07	4.5957014301735	Proteomics
P4HTM	1.75829781405768e-07	4.5957014301735	Proteomics
ASS1	1.79808070398087e-07	-4.59458485766667	Proteomics
TMEM59	1.83695504356014e-07	-4.59372867785654	Proteomics
DUSP3	2.11516666453367e-07	-4.54075513833028	Proteomics
EVI2A	2.43381068591116e-07	-4.49463666563455	Proteomics
