Gene	feature_identifier	Protein	P.Value	adj.P.Val	logFC	AveExpr
TXNIP	TXNIP_Q9H3M7	Q9H3M7	4.77006921361234e-12	3.44112793069994e-08	1.5372904252122	16.017608007453
HKDC1	HKDC1_Q2TB90	Q2TB90	8.17188291258345e-11	2.4219184048274e-07	1.36480777515348	18.1659230001966
PIGG	PIGG_Q5H8A4	Q5H8A4	1.00717427425592e-10	2.4219184048274e-07	0.900221115674594	16.12786726311
SDF4	SDF4_Q9BRK5	Q9BRK5	1.36319239715053e-09	2.45851748826098e-06	0.776759925684331	16.6581795391062
SDCBP	SDCBP_O00560	O00560	3.02888000434022e-09	3.83998874054924e-06	-0.593603396274908	16.6994629352204
NDFIP2	NDFIP2_Q9NV92	Q9NV92	3.60801935451877e-09	3.83998874054924e-06	-0.937255425061856	14.412232578239
NEU1	NEU1_Q99519	Q99519	3.72607723646308e-09	3.83998874054924e-06	0.687321001107431	16.6640800593554
CD68	CD68_P34810	P34810	4.83085643735782e-09	4.00989507563478e-06	1.44443407290746	15.1958265838131
SARS	SARS_P49591	P49591	5.19270801011214e-09	4.00989507563478e-06	-0.828562883765777	17.8810826167184
UTS2	UTS2_O95399	O95399	5.55849054010921e-09	4.00989507563478e-06	-0.818350007654656	16.1494409699046
CNTD2	CNTD2_Q9H8S5	Q9H8S5	6.41311425307232e-09	4.04997769728154e-06	-1.82718742539631	13.6415951770625
MAP1LC3A	MAP1LC3A_Q9H492	Q9H492	6.73686337224543e-09	4.04997769728154e-06	-1.04104765620484	14.2531342495112
CAPG	CAPG_P40121	P40121	8.23810771764389e-09	4.5715160826987e-06	-0.625840708685743	18.1271214671677
SQSTM1	SQSTM1_Q13501	Q13501	1.01592084497118e-08	5.2348949825872e-06	-0.606203806449834	17.6919048466684
SAA1	SAA1_P0DJI8	P0DJI8	1.24384255210351e-08	5.98205344724981e-06	1.77592196640902	14.8667901460496
PNP	PNP_P00491	P00491	1.35890408831464e-08	6.12695880818863e-06	-0.527655844841053	16.2714017252413
AARS	AARS_P49588	P49588	1.81433967775225e-08	7.69920378547337e-06	-0.833485140477205	18.2126654840865
CALCOCO1	CALCOCO1_Q9P1Z2	Q9P1Z2	1.96397980569103e-08	7.74344672511074e-06	-0.687292100836897	15.7578818643873
ANKS1A	ANKS1A_Q92625	Q92625	2.03944396696845e-08	7.74344672511074e-06	-0.521979321820789	14.9953242354394
CLU	CLU_P10909	P10909	3.02345493912684e-08	1.0547765460113e-05	-0.616200646485707	15.9261094527867
GFPT1	GFPT1_Q06210	Q06210	3.07046125121116e-08	1.0547765460113e-05	-0.605880560719392	17.8044407190061
F10	F10_P00742	P00742	3.91268102203759e-08	1.25950516905958e-05	-1.32080931673462	13.528081418334
GNPDA1	GNPDA1_P46926	P46926	4.42021473107278e-08	1.25950516905958e-05	-0.732918039410928	16.276923724685
EPG5	EPG5_Q9HCE0	Q9HCE0	4.50078365678941e-08	1.25950516905958e-05	-0.669304239175386	16.8933949683885
APP	APP_P05067	P05067	4.77114539000634e-08	1.25950516905958e-05	-0.585082449644599	17.5981481544709
UAP1L1	UAP1L1_Q3KQV9	Q3KQV9	4.78339719871119e-08	1.25950516905958e-05	-0.551857310619784	17.2167532427758
MTRF1L	MTRF1L_Q9UGC7	Q9UGC7	4.79159214971865e-08	1.25950516905958e-05	-0.598514072868049	12.7189028429096
SNRPB	SNRPB_P14678	P14678	4.92774291857171e-08	1.25950516905958e-05	0.576519632397847	17.0935336735943
TBC1D15	TBC1D15_Q8TC07	Q8TC07	5.06316189391848e-08	1.25950516905958e-05	-0.815296107347399	15.0300269746006
GARS	GARS_P41250	P41250	6.21369356595804e-08	1.49418617949404e-05	-0.523938041702582	18.610241204627
XPOT	XPOT_O43592	O43592	6.58205320450604e-08	1.51244855806438e-05	-0.51468289091402	17.1509998506432
CYR61	CYR61_O00622	O00622	6.70894841392571e-08	1.51244855806438e-05	-0.861958415816158	18.3912806171363
CTH	CTH_P32929	P32929	7.23962865504206e-08	1.5826267005295e-05	-0.734587451541756	16.5977307600226
LOXL2	LOXL2_Q9Y4K0	Q9Y4K0	8.69160575036996e-08	1.74148146271982e-05	-0.517817922357413	16.9402309967
METAP2	METAP2_P50579	P50579	8.75417758527408e-08	1.74148146271982e-05	-0.583990722041239	16.1253916470095
PDIA4	PDIA4_P13667	P13667	9.03119988198069e-08	1.74148146271982e-05	-0.483858864556119	19.1269757942782
PSAT1	PSAT1_Q9Y617	Q9Y617	9.22020554466657e-08	1.74148146271982e-05	-0.968583324644662	15.8093196778502
LAMP1	LAMP1_P11279	P11279	9.33164573312846e-08	1.74148146271982e-05	-0.763211798418695	17.2096231647369
IGFBP4	IGFBP4_P22692	P22692	9.61184326393482e-08	1.74148146271982e-05	0.658314087429432	14.8086049022243
LAMB2	LAMB2_P55268	P55268	9.65612122384151e-08	1.74148146271982e-05	-0.437567947647249	19.2097892744442
SPIRE1	SPIRE1_Q08AE8	Q08AE8	1.17211493383866e-07	2.00754638661737e-05	-0.499504396462889	15.9162989287316
LGALS3BP	LGALS3BP_Q08380	Q08380	1.19646094836944e-07	2.00754638661737e-05	-0.668594226468574	18.9994011883882
TARS	TARS_P26639	P26639	1.1966245442826e-07	2.00754638661737e-05	-0.530774306712825	18.9953307404887
